dep,jour,P,T,cl_age90,pop.x,pop.y,taux_positivite_quotidien,positifs_7j,tests_7j,taux_positivite_7j
25,2020-05-13,6,292,0,539449,539449,2.054794520547945,,,
25,2020-05-14,5,357,0,539449,539449,1.400560224089636,,,
25,2020-05-15,6,435,0,539449,539449,1.3793103448275863,,,
25,2020-05-16,7,176,0,539449,539449,3.977272727272727,,,
25,2020-05-17,1,71,0,539449,539449,1.4084507042253522,,,
25,2020-05-18,5,385,0,539449,539449,1.2987012987012987,,,
25,2020-05-19,7,453,0,539449,539449,1.545253863134658,37.0,2169.0,1.7058552328261871
25,2020-05-20,5,391,0,539449,539449,1.278772378516624,36.0,2268.0,1.5873015873015872
25,2020-05-21,1,92,0,539449,539449,1.0869565217391304,32.0,2003.0,1.597603594608088
25,2020-05-22,5,313,0,539449,539449,1.5974440894568689,31.0,1881.0,1.648059542796385
25,2020-05-23,1,163,0,539449,539449,0.6134969325153374,25.0,1868.0,1.3383297644539616
25,2020-05-24,1,43,0,539449,539449,2.3255813953488373,25.0,1840.0,1.358695652173913
25,2020-05-25,2,343,0,539449,539449,0.5830903790087464,22.0,1798.0,1.2235817575083427
25,2020-05-26,3,386,0,539449,539449,0.7772020725388601,18.0,1731.0,1.0398613518197575
25,2020-05-27,4,358,0,539449,539449,1.1173184357541899,17.0,1698.0,1.0011778563015312
25,2020-05-28,2,317,0,539449,539449,0.6309148264984227,18.0,1923.0,0.93603744149766
25,2020-05-29,1,328,0,539449,539449,0.3048780487804878,14.0,1938.0,0.7223942208462332
25,2020-05-30,5,229,0,539449,539449,2.1834061135371177,18.0,2004.0,0.8982035928143712
25,2020-05-31,2,59,0,539449,539449,3.389830508474576,19.0,2020.0,0.9405940594059405
25,2020-06-01,1,71,0,539449,539449,1.4084507042253522,18.0,1748.0,1.0297482837528604
25,2020-06-02,10,373,0,539449,539449,2.680965147453083,25.0,1735.0,1.440922190201729
25,2020-06-03,2,366,0,539449,539449,0.546448087431694,23.0,1743.0,1.31956397016638
25,2020-06-04,7,368,0,539449,539449,1.9021739130434785,28.0,1794.0,1.560758082497213
25,2020-06-05,3,357,0,539449,539449,0.8403361344537815,30.0,1823.0,1.6456390565002743
25,2020-06-06,4,214,0,539449,539449,1.8691588785046727,29.0,1808.0,1.6039823008849559
25,2020-06-07,0,45,0,539449,539449,0.0,27.0,1794.0,1.5050167224080269
25,2020-06-08,2,376,0,539449,539449,0.5319148936170213,28.0,2099.0,1.3339685564554549
25,2020-06-09,4,347,0,539449,539449,1.1527377521613833,22.0,2073.0,1.0612638687891944
25,2020-06-10,10,373,0,539449,539449,2.680965147453083,30.0,2080.0,1.4423076923076923
25,2020-06-11,1,342,0,539449,539449,0.29239766081871343,24.0,2054.0,1.1684518013631937
25,2020-06-12,6,328,0,539449,539449,1.8292682926829267,27.0,2025.0,1.3333333333333335
25,2020-06-13,1,233,0,539449,539449,0.4291845493562232,24.0,2044.0,1.1741682974559686
25,2020-06-14,1,71,0,539449,539449,1.4084507042253522,25.0,2070.0,1.2077294685990339
25,2020-06-15,2,391,0,539449,539449,0.5115089514066496,25.0,2085.0,1.1990407673860912
25,2020-06-16,0,351,0,539449,539449,0.0,21.0,2089.0,1.0052656773575874
25,2020-06-17,5,283,0,539449,539449,1.76678445229682,16.0,1999.0,0.80040020010005
