dep,sexe,jour,Personnes hospitalisées,Personnes en réanimation,Personnes décédées (cumul),dep_ok
70,0,2020-03-18,14,4,0,70
70,0,2020-03-19,14,3,0,70
70,0,2020-03-20,26,6,0,70
70,0,2020-03-21,26,6,0,70
70,0,2020-03-22,26,6,0,70
70,0,2020-03-23,26,6,0,70
70,0,2020-03-24,37,13,3,70
70,0,2020-03-25,44,18,6,70
70,0,2020-03-26,62,22,6,70
70,0,2020-03-27,67,23,6,70
70,0,2020-03-28,66,21,9,70
70,0,2020-03-29,66,18,10,70
70,0,2020-03-30,63,16,14,70
70,0,2020-03-31,69,15,19,70
70,0,2020-04-01,68,16,22,70
70,0,2020-04-02,77,15,28,70
70,0,2020-04-03,81,14,30,70
70,0,2020-04-04,80,16,33,70
70,0,2020-04-05,80,17,37,70
70,0,2020-04-06,79,16,44,70
70,0,2020-04-07,84,17,45,70
70,0,2020-04-08,87,18,45,70
70,0,2020-04-09,91,18,45,70
70,0,2020-04-10,89,17,47,70
70,0,2020-04-11,87,17,48,70
70,0,2020-04-12,85,17,49,70
70,0,2020-04-13,85,17,50,70
70,0,2020-04-14,95,18,51,70
70,0,2020-04-15,89,16,56,70
70,0,2020-04-16,89,16,57,70
70,0,2020-04-17,95,17,58,70
70,0,2020-04-18,96,17,58,70
70,0,2020-04-19,96,17,58,70
70,0,2020-04-20,90,19,60,70
70,0,2020-04-21,91,18,60,70
70,0,2020-04-22,91,17,62,70
70,0,2020-04-23,96,17,63,70
70,0,2020-04-24,114,15,63,70
70,0,2020-04-25,111,13,66,70
70,0,2020-04-26,113,13,67,70
70,0,2020-04-27,101,13,67,70
70,0,2020-04-28,98,13,67,70
70,0,2020-04-29,97,12,69,70
70,0,2020-04-30,101,9,69,70
70,0,2020-05-01,102,9,69,70
70,0,2020-05-02,101,8,70,70
70,0,2020-05-03,100,7,71,70
70,0,2020-05-04,98,7,73,70
70,0,2020-05-05,97,8,73,70
70,0,2020-05-06,93,4,73,70
70,0,2020-05-07,78,4,73,70
70,0,2020-05-08,77,5,74,70
70,0,2020-05-09,79,5,74,70
70,0,2020-05-10,80,5,74,70
70,0,2020-05-11,79,5,75,70
70,0,2020-05-12,77,3,75,70
70,0,2020-05-13,78,2,75,70
70,0,2020-05-14,79,2,76,70
70,0,2020-05-15,78,2,76,70
70,0,2020-05-16,78,2,76,70
70,0,2020-05-17,78,2,76,70
70,0,2020-05-18,77,3,77,70
70,0,2020-05-19,73,2,77,70
70,0,2020-05-20,72,1,77,70
70,0,2020-05-21,72,1,77,70
70,0,2020-05-22,72,1,77,70
70,0,2020-05-23,72,0,77,70
70,0,2020-05-24,72,0,77,70
70,0,2020-05-25,62,0,77,70
70,0,2020-05-26,48,0,77,70
70,0,2020-05-27,49,0,77,70
70,0,2020-05-28,48,0,77,70
70,0,2020-05-29,49,0,77,70
70,0,2020-05-30,50,0,77,70
70,0,2020-05-31,50,0,77,70
70,0,2020-06-01,50,0,77,70
70,0,2020-06-02,46,0,77,70
70,0,2020-06-03,41,0,77,70
70,0,2020-06-04,40,0,77,70
70,0,2020-06-05,39,0,77,70
70,0,2020-06-06,35,0,77,70
70,0,2020-06-07,35,0,77,70
70,0,2020-06-08,32,0,77,70
70,0,2020-06-09,25,0,77,70
70,0,2020-06-10,19,0,77,70
70,0,2020-06-11,19,0,77,70
70,0,2020-06-12,19,0,77,70
70,0,2020-06-13,19,0,77,70
70,0,2020-06-14,19,0,77,70
70,0,2020-06-15,19,0,77,70
70,0,2020-06-16,19,0,77,70
70,0,2020-06-17,19,0,77,70
70,0,2020-06-18,19,0,77,70
70,0,2020-06-19,19,0,77,70
70,0,2020-06-20,19,0,77,70
70,0,2020-06-21,19,0,77,70
70,0,2020-06-22,19,0,77,70
70,0,2020-06-23,19,0,77,70
70,0,2020-06-24,19,0,77,70
70,0,2020-06-25,19,0,77,70
70,0,2020-06-26,19,0,77,70
70,0,2020-06-27,19,0,77,70
70,0,2020-06-28,19,0,77,70
70,0,2020-06-29,19,0,77,70
70,0,2020-06-30,18,0,77,70
70,0,2020-07-01,18,0,77,70
70,0,2020-07-02,18,0,77,70
70,0,2020-07-03,18,0,77,70
70,0,2020-07-04,18,0,77,70
70,0,2020-07-05,18,0,77,70
70,0,2020-07-06,18,0,77,70
70,0,2020-07-07,15,0,77,70
70,0,2020-07-08,15,0,77,70
70,0,2020-07-09,15,0,77,70
70,0,2020-07-10,15,0,77,70
70,0,2020-07-11,15,0,77,70
70,0,2020-07-12,15,0,77,70
70,0,2020-07-13,15,0,77,70
70,0,2020-07-14,15,0,77,70
70,0,2020-07-15,15,0,77,70
70,0,2020-07-16,15,0,77,70
70,0,2020-07-17,15,0,77,70
70,0,2020-07-18,15,0,77,70
70,0,2020-07-19,15,0,77,70
70,0,2020-07-20,14,0,77,70
70,0,2020-07-21,14,0,77,70
70,0,2020-07-22,14,0,77,70
70,0,2020-07-23,3,0,77,70
70,0,2020-07-24,1,0,77,70
70,0,2020-07-25,0,0,77,70
70,0,2020-07-26,0,0,77,70
70,0,2020-07-27,0,0,77,70
70,0,2020-07-28,0,0,77,70
70,0,2020-07-29,0,0,77,70
70,0,2020-07-30,0,0,77,70
70,0,2020-07-31,0,0,77,70
70,0,2020-08-01,0,0,77,70
70,0,2020-08-02,0,0,77,70
70,0,2020-08-03,0,0,77,70
70,0,2020-08-04,0,0,77,70
70,0,2020-08-05,0,0,77,70
70,0,2020-08-06,0,0,77,70
70,0,2020-08-07,0,0,77,70
70,0,2020-08-08,0,0,77,70
70,0,2020-08-09,0,0,77,70
70,0,2020-08-10,0,0,77,70
70,0,2020-08-11,0,0,77,70
70,0,2020-08-12,0,0,77,70
70,0,2020-08-13,0,0,77,70
70,0,2020-08-14,0,0,77,70
70,0,2020-08-15,0,0,77,70
70,0,2020-08-16,0,0,77,70
70,0,2020-08-17,0,0,77,70
70,0,2020-08-18,0,0,77,70
70,0,2020-08-19,0,0,77,70
70,0,2020-08-20,0,0,77,70
70,0,2020-08-21,0,0,77,70
70,0,2020-08-22,0,0,77,70
70,0,2020-08-23,0,0,77,70
70,0,2020-08-24,0,0,77,70
70,0,2020-08-25,0,0,77,70
70,0,2020-08-26,0,0,77,70
70,0,2020-08-27,0,0,77,70
70,0,2020-08-28,0,0,77,70
70,0,2020-08-29,0,0,77,70
70,0,2020-08-30,0,0,77,70
70,0,2020-08-31,0,0,77,70
70,0,2020-09-01,0,0,77,70
70,0,2020-09-02,0,0,77,70
70,0,2020-09-03,0,0,77,70
70,0,2020-09-04,0,0,77,70
70,0,2020-09-05,2,0,77,70
70,0,2020-09-06,2,0,77,70
70,0,2020-09-07,2,0,77,70
70,0,2020-09-08,2,0,77,70
70,0,2020-09-09,2,0,77,70
70,0,2020-09-10,2,0,77,70
70,0,2020-09-11,2,0,77,70
70,0,2020-09-12,2,0,77,70
70,0,2020-09-13,2,0,77,70
70,0,2020-09-14,2,0,77,70
70,0,2020-09-15,2,0,77,70
70,0,2020-09-16,2,0,77,70
70,0,2020-09-17,2,0,77,70
70,0,2020-09-18,2,0,77,70
70,0,2020-09-19,2,0,77,70
70,0,2020-09-20,2,0,77,70
70,0,2020-09-21,2,0,77,70
70,0,2020-09-22,2,0,77,70
70,0,2020-09-23,2,0,77,70
70,0,2020-09-24,2,0,77,70
70,0,2020-09-25,2,0,77,70
70,0,2020-09-26,2,0,77,70
70,0,2020-09-27,2,0,77,70
70,0,2020-09-28,0,0,77,70
70,0,2020-09-29,1,0,77,70
70,0,2020-09-30,1,0,77,70
70,0,2020-10-01,1,0,77,70
70,0,2020-10-02,2,0,77,70
70,0,2020-10-03,2,0,77,70
70,0,2020-10-04,2,0,77,70
70,0,2020-10-05,2,0,77,70
70,0,2020-10-06,6,0,77,70
70,0,2020-10-07,7,0,77,70
70,0,2020-10-08,5,0,77,70
70,0,2020-10-09,4,1,78,70
70,0,2020-10-10,6,1,78,70
70,0,2020-10-11,6,1,78,70
70,0,2020-10-12,9,1,78,70
70,0,2020-10-13,10,1,78,70
70,0,2020-10-14,15,1,78,70
70,0,2020-10-15,17,1,78,70
70,0,2020-10-16,24,1,79,70
70,0,2020-10-17,23,1,79,70
