Date,Code,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées
2020-03-18,89,0,0,6
2020-03-19,89,2,1,5
2020-03-20,89,2,3,10
2020-03-21,89,2,3,11
2020-03-22,89,2,3,13
2020-03-23,89,2,7,16
2020-03-24,89,2,8,18
2020-03-25,89,2,11,32
2020-03-26,89,3,12,35
2020-03-27,89,3,12,37
2020-03-28,89,3,12,38
2020-03-29,89,4,13,40
2020-03-30,89,4,15,52
2020-03-31,89,5,16,75
2020-04-01,89,8,21,85
2020-04-02,89,9,19,97
2020-04-03,89,10,20,101
2020-04-04,89,11,19,102
2020-04-05,89,12,18,101
2020-04-06,89,15,18,103
2020-04-07,89,17,19,94
2020-04-08,89,17,19,95
2020-04-09,89,18,18,91
