Date,Code,Département,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées
2020-03-18,90,Territoire de Belfort,0,9,25
2020-03-19,90,Territoire de Belfort,3,9,39
2020-03-20,90,Territoire de Belfort,5,9,49
2020-03-21,90,Territoire de Belfort,6,11,61
2020-03-22,90,Territoire de Belfort,14,14,68
2020-03-23,90,Territoire de Belfort,24,20,94
2020-03-24,90,Territoire de Belfort,27,22,109
2020-03-25,90,Territoire de Belfort,30,27,138
2020-03-26,90,Territoire de Belfort,35,30,137
2020-03-27,90,Territoire de Belfort,43,30,147
2020-03-28,90,Territoire de Belfort,44,34,164
2020-03-29,90,Territoire de Belfort,51,40,171
2020-03-30,90,Territoire de Belfort,61,40,177
2020-03-31,90,Territoire de Belfort,61,43,201
2020-04-01,90,Territoire de Belfort,64,44,219
2020-04-02,90,Territoire de Belfort,75,46,216
2020-04-03,90,Territoire de Belfort,78,43,217
2020-04-04,90,Territoire de Belfort,83,41,204
2020-04-05,90,Territoire de Belfort,86,43,212
2020-04-06,90,Territoire de Belfort,89,42,221
2020-04-07,90,Territoire de Belfort,94,43,216
2020-04-08,90,Territoire de Belfort,96,43,209
