geometry,INSEE_COM,INSEE_DEP,INSEE_REG,CODE_EPCI,POPULATION,NOM_COM
"{""type"":""Polygon"",""coordinates"":[[[4.480639,46.413159],[4.505998,46.403794],[4.517595,46.4113],[4.515263,46.446887],[4.49799,46.453585],[4.487078,46.445067],[4.477121,46.415521],[4.480639,46.413159]]]}",71524,71,27,200040293,166,Sivignon
"{""type"":""Polygon"",""coordinates"":[[[6.211026,46.962683],[6.188638,47.001527],[6.178347,46.999378],[6.153242,46.990274],[6.146307,46.969882],[6.161843,46.956829],[6.189563,46.954631],[6.211026,46.962683]]]}",25541,25,27,242504488,368,Septfontaines
"{""type"":""Polygon"",""coordinates"":[[[4.578616,46.68557],[4.586006,46.681812],[4.614549,46.679881],[4.628392,46.694472],[4.61606,46.699138],[4.600959,46.699651],[4.578616,46.68557]]]}",71505,71,27,247104094,74,Savianges
"{""type"":""Polygon"",""coordinates"":[[[6.130547,46.71949],[6.131032,46.719799],[6.13746,46.723957],[6.155246,46.731571],[6.141002,46.747606],[6.120242,46.756209],[6.098724,46.737517],[6.102664,46.724087],[6.130547,46.71949]]]}",39085,39,27,200069623,88,Cerniébaud
"{""type"":""Polygon"",""coordinates"":[[[6.532834,47.806454],[6.506023,47.795251],[6.505336,47.772551],[6.528671,47.76963],[6.548453,47.776912],[6.548759,47.802361],[6.532834,47.806454]]]}",70295,70,27,247000854,215,La Lanterne-et-les-Armonts
"{""type"":""Polygon"",""coordinates"":[[[5.789148,47.231692],[5.789832,47.218099],[5.809573,47.221385],[5.814453,47.23505],[5.789148,47.231692]]]}",25162,25,27,200041887,200,Corcelles-Ferrières
"{""type"":""Polygon"",""coordinates"":[[[5.658336,47.464513],[5.667241,47.471417],[5.669174,47.480159],[5.610906,47.498334],[5.601031,47.479615],[5.613818,47.465383],[5.636403,47.459624],[5.658336,47.464513]]]}",70446,70,27,200036549,595,Rigny
"{""type"":""Polygon"",""coordinates"":[[[6.524088,47.744158],[6.528671,47.76963],[6.505336,47.772551],[6.501294,47.766052],[6.476756,47.752075],[6.506029,47.738295],[6.524088,47.744158]]]}",70294,70,27,200041861,353,Lantenot
"{""type"":""Polygon"",""coordinates"":[[[5.837133,47.431958],[5.816345,47.425103],[5.831678,47.411017],[5.828637,47.390892],[5.87724,47.38008],[5.890353,47.38247],[5.907196,47.398751],[5.893261,47.4138],[5.85319,47.431027],[5.837133,47.431958]]]}",70104,70,27,247000698,592,Bucey-lès-Gy
"{""type"":""Polygon"",""coordinates"":[[[6.888283,47.75078],[6.866428,47.750334],[6.840004,47.735427],[6.83454,47.730828],[6.860241,47.714803],[6.865116,47.728558],[6.885876,47.736415],[6.888283,47.75078]]]}",90088,90,27,200069060,976,Rougegoutte
"{""type"":""Polygon"",""coordinates"":[[[3.099526,48.351776],[3.06632,48.357669],[3.050282,48.359999],[3.037836,48.343782],[3.041875,48.329161],[3.015336,48.307303],[3.027234,48.30074],[3.049073,48.30876],[3.056423,48.323347],[3.099526,48.351776]]]}",89460,89,27,248900896,3465,Villeneuve-la-Guyard
"{""type"":""Polygon"",""coordinates"":[[[5.772007,46.609095],[5.776387,46.615416],[5.735001,46.619956],[5.724643,46.637081],[5.719029,46.63661],[5.706649,46.605695],[5.704298,46.59157],[5.711415,46.596379],[5.74191,46.610792],[5.772007,46.609095]]]}",39109,39,27,200090579,175,Charézier
"{""type"":""Polygon"",""coordinates"":[[[3.535848,47.450359],[3.556828,47.446008],[3.583206,47.461452],[3.576144,47.482042],[3.54799,47.468803],[3.535848,47.450359]]]}",58011,58,27,200067429,283,Armes
"{""type"":""Polygon"",""coordinates"":[[[5.650686,46.489501],[5.64483,46.507238],[5.626787,46.515609],[5.615094,46.506372],[5.622698,46.494025],[5.64485,46.482248],[5.650686,46.489501]]]}",39207,39,27,200090579,83,Écrille
"{""type"":""Polygon"",""coordinates"":[[[5.2373,47.05865],[5.242021,47.081837],[5.232326,47.08624],[5.190517,47.076141],[5.196518,47.064615],[5.174721,47.036132],[5.176117,47.033154],[5.193372,47.03239],[5.20428,47.016152],[5.222371,47.010704],[5.219433,47.023034],[5.235802,47.03608],[5.2373,47.05865]]]}",21475,21,27,242101509,514,Pagny-le-Château
"{""type"":""Polygon"",""coordinates"":[[[6.430969,47.632042],[6.472714,47.631109],[6.469205,47.65034],[6.44418,47.669361],[6.414984,47.668164],[6.415349,47.644504],[6.430969,47.632042]]]}",70581,70,27,247000664,676,Vy-lès-Lure
"{""type"":""Polygon"",""coordinates"":[[[5.932987,46.770386],[5.957494,46.766978],[5.961574,46.779468],[5.918093,46.792368],[5.910085,46.78515],[5.932987,46.770386]]]}",39481,39,27,200069623,407,Saint-Germain-en-Montagne
"{""type"":""Polygon"",""coordinates"":[[[6.30135,47.28338],[6.267176,47.275813],[6.262011,47.270225],[6.275366,47.249868],[6.289795,47.251487],[6.307315,47.259131],[6.313139,47.276355],[6.30135,47.28338]]]}",25273,25,27,242504447,217,Glamondans
"{""type"":""Polygon"",""coordinates"":[[[5.124817,46.62246],[5.139088,46.609744],[5.163233,46.60695],[5.180748,46.600627],[5.203635,46.612198],[5.205738,46.631621],[5.189137,46.638487],[5.130299,46.631066],[5.124817,46.62246]]]}",71528,71,27,200071579,2030,Sornay
"{""type"":""Polygon"",""coordinates"":[[[3.985139,46.981416],[3.993158,46.989026],[3.969597,47.02751],[3.944612,47.016317],[3.955519,46.983546],[3.985139,46.981416]]]}",58111,58,27,200067890,110,Fâchin
"{""type"":""Polygon"",""coordinates"":[[[6.241516,47.410733],[6.257868,47.413692],[6.250591,47.424763],[6.234972,47.431204],[6.241516,47.410733]]]}",25430,25,27,242504447,39,Ollans
"{""type"":""Polygon"",""coordinates"":[[[6.516153,47.622277],[6.502625,47.612856],[6.53528,47.6106],[6.524671,47.626749],[6.516153,47.622277]]]}",70544,70,27,247000714,118,La Vergenne
"{""type"":""Polygon"",""coordinates"":[[[6.484257,47.784072],[6.499248,47.800067],[6.499542,47.801334],[6.469739,47.793786],[6.467359,47.7938],[6.484257,47.784072]]]}",70172,70,27,247000755,106,La Corbière
"{""type"":""Polygon"",""coordinates"":[[[6.474263,47.751561],[6.454115,47.767836],[6.437598,47.74531],[6.442481,47.737085],[6.478253,47.718789],[6.483639,47.723957],[6.487085,47.736982],[6.474263,47.751561]]]}",70250,70,27,200041861,428,Franchevelle
