jour,Personnes décédées (cumul),Personnes hospitalisées,Personnes de retour à domicile (cumul),Personnes en réanimation,jour_ok
2020-03-18 00:00:00,6,20,20,33,2020-03-18
2020-03-19 00:00:00,14,50,50,47,2020-03-19
2020-03-20 00:00:00,22,68,68,71,2020-03-20
2020-03-21 00:00:00,27,88,88,79,2020-03-21
2020-03-22 00:00:00,40,165,165,83,2020-03-22
2020-03-23 00:00:00,62,198,198,99,2020-03-23
2020-03-24 00:00:00,85,285,285,121,2020-03-24
2020-03-25 00:00:00,102,348,348,150,2020-03-25
2020-03-26 00:00:00,123,402,402,166,2020-03-26
2020-03-27 00:00:00,139,432,432,186,2020-03-27
2020-03-28 00:00:00,148,493,493,194,2020-03-28
2020-03-29 00:00:00,164,549,549,217,2020-03-29
2020-03-30 00:00:00,187,604,604,220,2020-03-30
2020-03-31 00:00:00,214,675,675,212,2020-03-31
2020-04-01 00:00:00,230,642,642,229,2020-04-01
2020-04-02 00:00:00,271,746,746,250,2020-04-02
2020-04-03 00:00:00,303,835,835,265,2020-04-03
2020-04-04 00:00:00,323,910,910,274,2020-04-04
2020-04-05 00:00:00,341,942,942,275,2020-04-05
2020-04-06 00:00:00,367,986,986,285,2020-04-06
2020-04-07 00:00:00,396,1077,1077,295,2020-04-07
2020-04-08 00:00:00,412,1160,1160,292,2020-04-08
2020-04-09 00:00:00,427,1237,1237,283,2020-04-09
2020-04-10 00:00:00,459,1309,1309,290,2020-04-10
2020-04-11 00:00:00,478,1411,1411,278,2020-04-11
2020-04-12 00:00:00,500,1441,1441,278,2020-04-12
2020-04-13 00:00:00,512,1463,1463,284,2020-04-13
2020-04-14 00:00:00,551,1488,1488,285,2020-04-14
2020-04-15 00:00:00,581,1594,1594,274,2020-04-15
2020-04-16 00:00:00,607,1659,1659,279,2020-04-16
2020-04-17 00:00:00,623,1728,1728,262,2020-04-17
2020-04-18 00:00:00,644,1788,1788,255,2020-04-18
2020-04-19 00:00:00,657,1839,1839,239,2020-04-19
2020-04-20 00:00:00,677,1864,1864,238,2020-04-20
2020-04-21 00:00:00,705,1941,1941,229,2020-04-21
2020-04-22 00:00:00,721,2018,2018,234,2020-04-22
2020-04-23 00:00:00,753,2088,2088,217,2020-04-23
2020-04-24 00:00:00,770,2175,2175,203,2020-04-24
2020-04-25 00:00:00,786,2227,2227,201,2020-04-25
2020-04-26 00:00:00,797,2237,2237,195,2020-04-26
2020-04-27 00:00:00,814,2269,2269,196,2020-04-27
2020-04-28 00:00:00,819,2306,2306,191,2020-04-28
2020-04-29 00:00:00,832,2375,2375,186,2020-04-29
2020-04-30 00:00:00,838,2431,2431,181,2020-04-30
2020-05-01 00:00:00,843,2484,2484,178,2020-05-01
2020-05-02 00:00:00,850,2492,2492,172,2020-05-02
2020-05-03 00:00:00,856,2495,2495,174,2020-05-03
2020-05-04 00:00:00,869,2512,2512,161,2020-05-04
2020-05-05 00:00:00,884,2582,2582,135,2020-05-05
2020-05-06 00:00:00,896,2618,2618,114,2020-05-06
2020-05-07 00:00:00,906,2702,2702,112,2020-05-07
2020-05-08 00:00:00,914,2764,2764,115,2020-05-08
2020-05-09 00:00:00,921,2783,2783,111,2020-05-09
2020-05-10 00:00:00,926,2786,2786,106,2020-05-10
2020-05-11 00:00:00,939,2804,2804,108,2020-05-11
2020-05-12 00:00:00,947,2847,2847,105,2020-05-12
2020-05-13 00:00:00,953,2887,2887,96,2020-05-13
2020-05-14 00:00:00,956,2915,2915,95,2020-05-14
2020-05-15 00:00:00,958,2955,2955,94,2020-05-15
2020-05-16 00:00:00,959,2975,2975,94,2020-05-16
2020-05-17 00:00:00,959,2977,2977,94,2020-05-17
2020-05-18 00:00:00,969,2999,2999,86,2020-05-18
2020-05-19 00:00:00,978,3039,3039,75,2020-05-19
2020-05-20 00:00:00,980,3086,3086,70,2020-05-20
2020-05-21 00:00:00,983,3141,3141,67,2020-05-21
2020-05-22 00:00:00,988,3164,3164,62,2020-05-22
