jour,P,pop,positif_7j,taux_incid_7j
2020-05-13,20,2783039.0,,
2020-05-14,33,2783039.0,,
2020-05-15,64,2783039.0,,
2020-05-16,23,2783039.0,,
2020-05-17,8,2783039.0,,
2020-05-18,41,2783039.0,,
2020-05-19,38,2783039.0,227.0,8.156551165829873
2020-05-20,30,2783039.0,237.0,8.515870600447927
2020-05-21,5,2783039.0,209.0,7.5097761835173715
2020-05-22,35,2783039.0,180.0,6.467749823125009
2020-05-23,12,2783039.0,169.0,6.072498445045147
2020-05-24,6,2783039.0,167.0,6.0006345581215355
2020-05-25,22,2783039.0,148.0,5.317927632347229
2020-05-26,11,2783039.0,121.0,4.347765158878477
2020-05-27,15,2783039.0,106.0,3.8087860069513937
2020-05-28,13,2783039.0,114.0,4.096241554645839
2020-05-29,9,2783039.0,88.0,3.162011024638893
2020-05-30,12,2783039.0,88.0,3.162011024638893
2020-05-31,4,2783039.0,86.0,3.090147137715282
2020-06-01,3,2783039.0,67.0,2.4074402119409757
2020-06-02,26,2783039.0,82.0,2.9464193638680594
2020-06-03,15,2783039.0,82.0,2.9464193638680594
2020-06-04,13,2783039.0,82.0,2.9464193638680594
2020-06-05,12,2783039.0,85.0,3.054215194253476
2020-06-06,8,2783039.0,81.0,2.9104874204062536
2020-06-07,0,2783039.0,77.0,2.766759646559031
2020-06-08,9,2783039.0,83.0,2.982351307329865
2020-06-09,9,2783039.0,66.0,2.37150826847917
2020-06-10,18,2783039.0,69.0,2.4793040988645867
2020-06-11,8,2783039.0,64.0,2.2996443815555585
2020-06-12,15,2783039.0,67.0,2.4074402119409757
2020-06-13,1,2783039.0,60.0,2.155916607708336
2020-06-14,3,2783039.0,63.0,2.2637124380937528
2020-06-15,9,2783039.0,63.0,2.2637124380937528
2020-06-16,9,2783039.0,63.0,2.2637124380937528
2020-06-17,9,2783039.0,54.0,1.9403249469375026
2020-06-18,8,2783039.0,54.0,1.9403249469375026
2020-06-19,13,2783039.0,52.0,1.8684610600138913
2020-06-20,2,2783039.0,53.0,1.9043930034756968
2020-06-21,2,2783039.0,52.0,1.8684610600138913
2020-06-22,7,2783039.0,50.0,1.79659717309028
2020-06-23,9,2783039.0,50.0,1.79659717309028
2020-06-24,11,2783039.0,52.0,1.8684610600138913
2020-06-25,8,2783039.0,52.0,1.8684610600138913
2020-06-26,7,2783039.0,46.0,1.6528693992430579
2020-06-27,8,2783039.0,52.0,1.8684610600138913
2020-06-28,7,2783039.0,57.0,2.0481207773229193
2020-06-29,13,2783039.0,63.0,2.2637124380937528
2020-06-30,15,2783039.0,69.0,2.4793040988645867
2020-07-01,20,2783039.0,78.0,2.802691590020837
2020-07-02,8,2783039.0,78.0,2.802691590020837
2020-07-03,6,2783039.0,77.0,2.766759646559031
2020-07-04,9,2783039.0,78.0,2.802691590020837
2020-07-05,3,2783039.0,74.0,2.6589638161736144
2020-07-06,9,2783039.0,70.0,2.5152360423263924
2020-07-07,14,2783039.0,69.0,2.4793040988645867
2020-07-08,18,2783039.0,67.0,2.4074402119409757
2020-07-09,18,2783039.0,77.0,2.766759646559031
2020-07-10,14,2783039.0,85.0,3.054215194253476
