jour,P,T,positifs_7j,tests_7j,taux_positivite_7j
2020-05-13,20,1930,,,
2020-05-14,33,1895,,,
2020-05-15,64,2538,,,
2020-05-16,23,825,,,
2020-05-17,8,341,,,
2020-05-18,41,2234,,,
2020-05-19,37,2413,226.0,12176.0,1.8561103810775297
2020-05-20,30,2322,236.0,12568.0,1.877784850413749
2020-05-21,5,389,208.0,11062.0,1.8803109745073223
2020-05-22,35,1903,179.0,10427.0,1.7166970365397525
2020-05-23,12,817,168.0,10419.0,1.61243881370573
2020-05-24,6,308,166.0,10386.0,1.5983054111303678
2020-05-25,22,2149,147.0,10301.0,1.4270459178720514
2020-05-26,11,2106,121.0,9994.0,1.2107264358615168
2020-05-27,15,1768,106.0,9440.0,1.1228813559322033
2020-05-28,13,1624,114.0,10675.0,1.0679156908665106
2020-05-29,9,1837,88.0,10609.0,0.8294844000377037
2020-05-30,12,874,88.0,10666.0,0.8250515657228576
2020-05-31,4,325,86.0,10683.0,0.805017317232987
2020-06-01,3,443,67.0,8977.0,0.7463517879024173
2020-06-02,26,1925,82.0,8796.0,0.9322419281491587
2020-06-03,15,1683,82.0,8711.0,0.9413385374813454
2020-06-04,13,1730,82.0,8817.0,0.9300215492798004
2020-06-05,12,1681,85.0,8661.0,0.981410922526267
2020-06-06,8,892,81.0,8679.0,0.9332872450743173
2020-06-07,0,263,77.0,8617.0,0.8935824532900082
2020-06-08,9,1779,83.0,9953.0,0.8339194212800161
2020-06-09,9,1758,66.0,9786.0,0.6744328632740649
2020-06-10,18,1708,69.0,9811.0,0.7032922230149832
2020-06-11,8,1518,64.0,9599.0,0.666736118345661
2020-06-12,15,1720,67.0,9638.0,0.6951649719858892
2020-06-13,1,944,60.0,9690.0,0.6191950464396285
2020-06-14,3,367,63.0,9794.0,0.6432509699816213
2020-06-15,9,1626,63.0,9641.0,0.6534591847318744
2020-06-16,9,1599,63.0,9482.0,0.664416789706813
2020-06-17,9,1483,54.0,9257.0,0.5833423355298694
2020-06-18,8,1478,54.0,9217.0,0.5858739286101768
2020-06-19,13,1652,52.0,9149.0,0.5683681276642256
2020-06-20,2,794,53.0,8999.0,0.5889543282586954
2020-06-21,2,362,52.0,8994.0,0.578163219924394
2020-06-22,7,1645,50.0,9013.0,0.5547542438699656
