geometry,INSEE_COM,INSEE_DEP,NOM_COM_OK,fin_periode,clage_65,ti_classe,tp_classe,td_classe
"{""type"":""Polygon"",""coordinates"":[[[3.535848,47.450359],[3.538826,47.456489],[3.543182,47.459023],[3.547172,47.452286],[3.556828,47.446008],[3.561566,47.448695],[3.581295,47.452112],[3.583206,47.461452],[3.580415,47.464571],[3.580176,47.478517],[3.576144,47.482042],[3.560831,47.474552],[3.552945,47.477582],[3.54641,47.473408],[3.54799,47.468803],[3.541577,47.465854],[3.536909,47.460266],[3.535848,47.450359]]]}",58011,58,Armes (58),31/10,65,0 à 10,15 à 20,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[5.2373,47.05865],[5.233636,47.067177],[5.242437,47.076132],[5.242021,47.081837],[5.232326,47.08624],[5.220379,47.080024],[5.211836,47.078393],[5.201798,47.072014],[5.200286,47.078724],[5.196012,47.080287],[5.190517,47.076141],[5.192073,47.070316],[5.196518,47.064615],[5.183142,47.058814],[5.185285,47.053468],[5.177994,47.044995],[5.177834,47.038915],[5.174721,47.036132],[5.176117,47.033154],[5.193372,47.03239],[5.195957,47.022001],[5.20428,47.016152],[5.216239,47.017626],[5.213687,47.011625],[5.222371,47.010704],[5.225656,47.015136],[5.219636,47.019176],[5.219433,47.023034],[5.221036,47.026719],[5.232722,47.027007],[5.236439,47.031004],[5.235802,47.03608],[5.235625,47.042783],[5.230885,47.044451],[5.23018,47.049531],[5.2373,47.05865]]]}",21475,21,Pagny-le-Château (21),31/10,65,1000 et plus,20 à 25,2500 et plus
"{""type"":""Polygon"",""coordinates"":[[[3.985139,46.981416],[3.98505,46.985373],[3.993158,46.989026],[3.986228,46.999782],[3.985501,47.006301],[3.980672,47.00986],[3.979153,47.020678],[3.969597,47.02751],[3.959356,47.023209],[3.954872,47.02832],[3.94505,47.021666],[3.944612,47.016317],[3.945316,47.006146],[3.948858,46.991374],[3.955519,46.983546],[3.965389,46.983875],[3.964869,46.979537],[3.974195,46.975421],[3.985139,46.981416]]]}",58111,58,Fâchin (58),31/10,65,0 à 10,15 à 20,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[3.660857,47.652227],[3.658783,47.644836],[3.657102,47.634943],[3.663575,47.630815],[3.676216,47.625352],[3.683784,47.625277],[3.695684,47.628437],[3.702944,47.627424],[3.711771,47.631728],[3.700948,47.639426],[3.689935,47.641585],[3.680971,47.646767],[3.663553,47.646305],[3.660857,47.652227]]]}",89314,89,Prégilbert (89),31/10,65,1000 et plus,30 et plus,2500 et plus
"{""type"":""Polygon"",""coordinates"":[[[3.93203,46.972338],[3.919057,46.964849],[3.915322,46.95741],[3.919961,46.952333],[3.920758,46.946729],[3.916704,46.935217],[3.916039,46.925198],[3.917708,46.922075],[3.904876,46.913473],[3.90477,46.910175],[3.898602,46.903513],[3.892588,46.893843],[3.902445,46.887588],[3.904946,46.890073],[3.914253,46.888439],[3.925339,46.893866],[3.922521,46.903212],[3.934555,46.912565],[3.946954,46.916665],[3.957646,46.91396],[3.97944,46.91477],[3.98495,46.910526],[3.997125,46.908347],[4.004926,46.909575],[4.010214,46.912608],[4.012045,46.921898],[4.017494,46.931033],[4.011402,46.933791],[4.003495,46.944444],[4.004324,46.94905],[3.999074,46.955873],[3.987921,46.960771],[3.982519,46.972333],[3.988046,46.975952],[3.985139,46.981416],[3.974195,46.975421],[3.964869,46.979537],[3.965389,46.983875],[3.955519,46.983546],[3.946151,46.976438],[3.93203,46.972338]]]}",58309,58,Villapourçon (58),31/10,65,0 à 10,0 à 1,1000 à 1500
"{""type"":""Polygon"",""coordinates"":[[[3.459115,47.223654],[3.449131,47.21494],[3.440294,47.205588],[3.436272,47.191161],[3.434404,47.190665],[3.440646,47.181254],[3.449896,47.184258],[3.455412,47.178098],[3.469044,47.170333],[3.473204,47.170541],[3.482229,47.175527],[3.478048,47.177666],[3.473847,47.19727],[3.473684,47.213327],[3.469611,47.215034],[3.467159,47.220862],[3.459115,47.223654]]]}",58184,58,Moussy (58),31/10,65,1000 et plus,30 et plus,2000 à 2500
"{""type"":""Polygon"",""coordinates"":[[[4.580138,46.878002],[4.587745,46.883783],[4.591145,46.890851],[4.593121,46.902386],[4.587222,46.903333],[4.572209,46.902873],[4.556206,46.90045],[4.545708,46.902872],[4.542387,46.90589],[4.534697,46.905897],[4.533116,46.898425],[4.546799,46.892684],[4.550523,46.887023],[4.556989,46.882766],[4.580138,46.878002]]]}",71183,71,Dracy-lès-Couches (71),31/10,65,0 à 10,0 à 1,2500 et plus
"{""type"":""Polygon"",""coordinates"":[[[5.962593,46.793677],[5.96308,46.782518],[5.961574,46.779468],[5.958643,46.77457],[5.957494,46.766978],[5.966028,46.767691],[5.973154,46.771283],[5.976339,46.779288],[5.982623,46.78897],[5.985567,46.795263],[5.997755,46.808464],[5.977341,46.811744],[5.975031,46.818479],[5.965191,46.820091],[5.966265,46.811314],[5.964193,46.805377],[5.962593,46.793677]]]}",39381,39,Les Nans (39),31/10,65,10 à 20,5 à 10,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[3.593917,48.178677],[3.61185,48.17483],[3.613745,48.17097],[3.624864,48.163231],[3.650654,48.168228],[3.646132,48.178261],[3.640508,48.184619],[3.626145,48.191162],[3.619651,48.190886],[3.593917,48.178677]]]}",89065,89,Cérilly (89),31/10,65,10 à 20,5 à 10,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[3.79305,47.444783],[3.804402,47.44843],[3.81129,47.454322],[3.799761,47.461033],[3.798883,47.465317],[3.803011,47.472654],[3.810302,47.475592],[3.789737,47.489868],[3.786307,47.482593],[3.773689,47.47106],[3.763102,47.472899],[3.753902,47.472533],[3.754728,47.46618],[3.744123,47.46068],[3.736422,47.453629],[3.738178,47.439823],[3.754141,47.444246],[3.773941,47.44816],[3.79305,47.444783]]]}",89364,89,Saint-Père (89),31/10,65,500 à 1000,15 à 20,2500 et plus
