Date,Code,Département,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées,Personnes de retour à domicile (cumul)
2020-03-18,21,Côte-d'Or,0,16,60,4
2020-03-18,25,Doubs,1,3,26,8
2020-03-18,39,Jura,0,1,2,1
2020-03-18,58,Nièvre,0,0,0,0
2020-03-18,70,Haute-Saône,0,4,14,2
2020-03-18,71,Saône-et-Loire,5,0,35,4
2020-03-18,89,Yonne,0,0,6,1
2020-03-18,90,Territoire de Belfort,0,9,25,0
2020-03-19,21,Côte-d'Or,2,19,53,28
2020-03-19,25,Doubs,2,11,33,10
2020-03-19,39,Jura,0,1,2,1
2020-03-19,58,Nièvre,0,0,0,0
2020-03-19,70,Haute-Saône,0,3,14,3
2020-03-19,71,Saône-et-Loire,5,3,48,7
2020-03-19,89,Yonne,2,1,5,1
2020-03-19,90,Territoire de Belfort,3,9,39,0
2020-03-20,21,Côte-d'Or,3,31,82,37
2020-03-20,25,Doubs,4,15,43,13
2020-03-20,39,Jura,0,1,6,2
2020-03-20,58,Nièvre,0,1,1,0
2020-03-20,70,Haute-Saône,0,6,26,5
2020-03-20,71,Saône-et-Loire,8,5,53,10
2020-03-20,89,Yonne,2,3,10,1
2020-03-20,90,Territoire de Belfort,5,9,49,0
2020-03-21,21,Côte-d'Or,3,30,79,45
2020-03-21,25,Doubs,6,21,48,19
2020-03-21,39,Jura,0,1,7,2
2020-03-21,58,Nièvre,0,1,1,0
2020-03-21,70,Haute-Saône,0,6,26,5
2020-03-21,71,Saône-et-Loire,10,6,50,14
2020-03-21,89,Yonne,2,3,11,1
2020-03-21,90,Territoire de Belfort,6,11,61,2
2020-03-22,21,Côte-d'Or,4,31,101,73
2020-03-22,25,Doubs,8,21,63,20
2020-03-22,39,Jura,0,1,8,2
2020-03-22,58,Nièvre,0,1,1,0
2020-03-22,70,Haute-Saône,0,6,26,5
2020-03-22,71,Saône-et-Loire,12,6,65,36
2020-03-22,89,Yonne,2,3,13,1
2020-03-22,90,Territoire de Belfort,14,14,68,28
2020-03-23,21,Côte-d'Or,13,34,113,84
2020-03-23,25,Doubs,10,22,65,25
2020-03-23,39,Jura,0,1,10,2
2020-03-23,58,Nièvre,0,2,3,0
2020-03-23,70,Haute-Saône,0,6,26,5
2020-03-23,71,Saône-et-Loire,13,7,84,50
2020-03-23,89,Yonne,2,7,16,1
2020-03-23,90,Territoire de Belfort,24,20,94,31
2020-03-24,21,Côte-d'Or,22,34,114,106
