dep,sexe,jour,Personnes hospitalisées,Personnes en réanimation,Personnes décédées (cumul),dep_ok
21,0,2020-03-18,60,16,0,21
25,0,2020-03-18,26,3,1,25
39,0,2020-03-18,2,1,0,39
58,0,2020-03-18,0,0,0,58
70,0,2020-03-18,14,4,0,70
71,0,2020-03-18,35,0,5,71
89,0,2020-03-18,6,0,0,89
90,0,2020-03-18,25,9,0,90
21,0,2020-03-19,53,19,2,21
25,0,2020-03-19,33,11,2,25
39,0,2020-03-19,2,1,0,39
58,0,2020-03-19,0,0,0,58
70,0,2020-03-19,14,3,0,70
71,0,2020-03-19,48,3,5,71
89,0,2020-03-19,5,1,2,89
90,0,2020-03-19,39,9,3,90
21,0,2020-03-20,82,31,3,21
25,0,2020-03-20,43,15,4,25
39,0,2020-03-20,6,1,0,39
58,0,2020-03-20,1,1,0,58
70,0,2020-03-20,26,6,0,70
71,0,2020-03-20,53,5,8,71
89,0,2020-03-20,10,3,2,89
90,0,2020-03-20,49,9,5,90
21,0,2020-03-21,79,30,3,21
25,0,2020-03-21,48,21,6,25
39,0,2020-03-21,7,1,0,39
58,0,2020-03-21,1,1,0,58
70,0,2020-03-21,26,6,0,70
71,0,2020-03-21,50,6,10,71
89,0,2020-03-21,11,3,2,89
90,0,2020-03-21,61,11,6,90
21,0,2020-03-22,101,31,4,21
25,0,2020-03-22,63,21,8,25
39,0,2020-03-22,8,1,0,39
58,0,2020-03-22,1,1,0,58
70,0,2020-03-22,26,6,0,70
71,0,2020-03-22,65,6,12,71
89,0,2020-03-22,13,3,2,89
90,0,2020-03-22,68,14,14,90
21,0,2020-03-23,113,34,13,21
25,0,2020-03-23,65,22,10,25
39,0,2020-03-23,10,1,0,39
58,0,2020-03-23,3,2,0,58
70,0,2020-03-23,26,6,0,70
71,0,2020-03-23,84,7,13,71
89,0,2020-03-23,16,7,2,89
90,0,2020-03-23,94,20,24,90
21,0,2020-03-24,114,34,22,21
25,0,2020-03-24,80,26,11,25
39,0,2020-03-24,24,2,0,39
58,0,2020-03-24,3,2,0,58
70,0,2020-03-24,37,13,3,70
71,0,2020-03-24,92,14,20,71
89,0,2020-03-24,18,8,2,89
90,0,2020-03-24,109,22,27,90
21,0,2020-03-25,153,42,27,21
25,0,2020-03-25,84,27,12,25
39,0,2020-03-25,28,4,0,39
58,0,2020-03-25,3,2,0,58
70,0,2020-03-25,44,18,6,70
71,0,2020-03-25,109,19,25,71
89,0,2020-03-25,32,11,2,89
90,0,2020-03-25,138,27,30,90
21,0,2020-03-26,163,40,32,21
25,0,2020-03-26,84,29,18,25
39,0,2020-03-26,45,9,0,39
58,0,2020-03-26,4,2,0,58
70,0,2020-03-26,62,22,6,70
71,0,2020-03-26,149,22,29,71
89,0,2020-03-26,35,12,3,89
90,0,2020-03-26,137,30,35,90
21,0,2020-03-27,170,42,34,21
25,0,2020-03-27,100,37,21,25
39,0,2020-03-27,48,12,0,39
58,0,2020-03-27,6,3,0,58
70,0,2020-03-27,67,23,6,70
71,0,2020-03-27,165,27,32,71
89,0,2020-03-27,37,12,3,89
90,0,2020-03-27,147,30,43,90
21,0,2020-03-28,202,45,35,21
25,0,2020-03-28,91,38,22,25
39,0,2020-03-28,37,9,1,39
58,0,2020-03-28,7,4,0,58
70,0,2020-03-28,66,21,9,70
71,0,2020-03-28,182,31,34,71
89,0,2020-03-28,38,12,3,89
90,0,2020-03-28,164,34,44,90
21,0,2020-03-29,218,48,37,21
25,0,2020-03-29,148,56,25,25
39,0,2020-03-29,37,9,1,39
58,0,2020-03-29,9,6,0,58
70,0,2020-03-29,66,18,10,70
71,0,2020-03-29,184,27,36,71
89,0,2020-03-29,40,13,4,89
90,0,2020-03-29,171,40,51,90
