jour,Bourgogne-Franche-Comte,Cote-d'Or,Doubs,Jura,Nievre,Haute-Saone,Saone-et-Loire,Yonne,Territoire de Belfort
2020-03-19 00:00:00,13,2,2,0,0,0,2,2,5
2020-03-20 00:00:00,3,1,1,0,0,0,1,0,0
2020-03-21 00:00:00,14,1,2,0,0,0,2,0,9
2020-03-22 00:00:00,13,3,3,0,0,0,2,0,5
2020-03-23 00:00:00,14,6,1,0,0,0,1,0,6
2020-03-24 00:00:00,23,9,1,0,0,3,7,0,3
2020-03-25 00:00:00,17,5,1,0,0,3,5,0,3
2020-03-26 00:00:00,21,5,6,0,0,0,4,1,5
2020-03-27 00:00:00,16,2,3,0,0,0,3,0,8
2020-03-28 00:00:00,9,1,1,1,0,3,2,0,1
2020-03-29 00:00:00,16,2,3,0,0,1,2,1,7
2020-03-30 00:00:00,23,0,1,1,0,4,7,0,10
2020-03-31 00:00:00,28,5,8,1,2,6,5,1,0
2020-04-01 00:00:00,18,3,0,1,1,3,3,3,4
2020-04-02 00:00:00,41,18,1,0,1,6,3,1,11
2020-04-03 00:00:00,33,5,8,6,1,2,7,1,3
2020-04-04 00:00:00,21,3,3,3,0,3,3,1,5
2020-04-05 00:00:00,18,4,3,1,0,4,2,1,3
2020-04-06 00:00:00,26,3,2,3,1,7,4,3,3
2020-04-07 00:00:00,29,7,7,1,1,1,5,2,5
2020-04-08 00:00:00,16,11,1,1,0,0,1,0,2
2020-04-09 00:00:00,15,1,1,4,0,0,6,1,2
2020-04-10 00:00:00,32,7,5,1,0,2,8,5,4
2020-04-11 00:00:00,19,4,3,2,0,1,2,2,5
2020-04-12 00:00:00,22,10,4,1,0,1,1,1,4
2020-04-13 00:00:00,12,3,0,1,1,1,0,2,4
2020-04-14 00:00:00,39,14,8,2,4,1,5,4,1
2020-04-15 00:00:00,31,8,1,2,0,5,7,1,7
2020-04-16 00:00:00,27,8,4,2,0,1,9,1,2
2020-04-17 00:00:00,16,5,3,0,0,1,2,0,5
2020-04-18 00:00:00,21,5,5,3,2,0,1,4,1
2020-04-19 00:00:00,13,6,1,0,1,0,4,1,0
2020-04-20 00:00:00,20,6,1,0,3,2,3,3,2
2020-04-21 00:00:00,28,7,4,2,1,0,12,0,2
2020-04-22 00:00:00,16,1,0,1,2,2,2,2,6
2020-04-23 00:00:00,32,10,7,3,0,1,4,6,1
2020-04-24 00:00:00,18,12,0,0,0,0,5,1,0
2020-04-25 00:00:00,16,3,6,0,1,3,1,1,1
2020-04-26 00:00:00,11,4,1,0,0,1,2,2,1
2020-04-27 00:00:00,17,6,2,1,0,0,5,1,2
2020-04-28 00:00:00,7,2,1,0,0,0,3,1,0
2020-04-29 00:00:00,13,2,0,0,0,2,3,4,2
2020-04-30 00:00:00,6,1,2,2,0,0,1,0,0
2020-05-01 00:00:00,5,0,0,0,0,0,0,3,2
2020-05-02 00:00:00,7,0,0,0,1,1,1,2,2
2020-05-03 00:00:00,6,2,0,0,0,1,3,0,0
2020-05-04 00:00:00,13,0,3,2,0,2,3,1,2
2020-05-05 00:00:00,15,1,7,0,0,0,0,2,5
2020-05-06 00:00:00,12,3,4,0,1,0,1,2,1
2020-05-07 00:00:00,10,3,2,1,0,0,1,1,2
