com2020,dep,debut_7j,fin_7j,clage_65,tp_classe,ti_classe,td_classe
21001,21,2021-01-22,2021-01-28,0,1 à 5,50 à 150,2500 et plus
21001,21,2021-01-22,2021-01-28,65,1 à 5,150 à 250,2500 et plus
21002,21,2021-01-22,2021-01-28,0,1 à 5,20 à 50,1500 à 2000
21002,21,2021-01-22,2021-01-28,65,30 et plus,50 à 150,0 à 300
21003,21,2021-01-22,2021-01-28,0,0 à 1,0 à 10,2500 et plus
21003,21,2021-01-22,2021-01-28,65,0 à 1,0 à 10,2500 et plus
21004,21,2021-01-22,2021-01-28,0,0 à 1,0 à 10,800 à 1000
21004,21,2021-01-22,2021-01-28,65,0 à 1,0 à 10,1000 à 1500
21005,21,2021-01-22,2021-01-28,0,10 à 15,250 à 500,2500 et plus
21005,21,2021-01-22,2021-01-28,65,10 à 15,500 à 1000,2500 et plus
21006,21,2021-01-22,2021-01-28,0,15 à 20,1000 et plus,2500 et plus
21006,21,2021-01-22,2021-01-28,65,30 et plus,1000 et plus,2500 et plus
21007,21,2021-01-22,2021-01-28,0,0 à 1,0 à 10,1000 à 1500
21007,21,2021-01-22,2021-01-28,65,0 à 1,0 à 10,1500 à 2000
21008,21,2021-01-22,2021-01-28,0,20 à 25,150 à 250,800 à 1000
21008,21,2021-01-22,2021-01-28,65,0 à 1,0 à 10,800 à 1000
21009,21,2021-01-22,2021-01-28,0,0 à 1,0 à 10,1500 à 2000
21009,21,2021-01-22,2021-01-28,65,0 à 1,0 à 10,1500 à 2000
21010,21,2021-01-22,2021-01-28,0,0 à 1,0 à 10,2500 et plus
21010,21,2021-01-22,2021-01-28,65,0 à 1,0 à 10,2500 et plus
21011,21,2021-01-22,2021-01-28,0,0 à 1,0 à 10,0 à 300
21011,21,2021-01-22,2021-01-28,65,1 à 5,0 à 10,0 à 300
21012,21,2021-01-22,2021-01-28,0,0 à 1,0 à 10,2500 et plus
21012,21,2021-01-22,2021-01-28,65,0 à 1,0 à 10,2500 et plus
21013,21,2021-01-22,2021-01-28,0,5 à 10,150 à 250,2500 et plus
21013,21,2021-01-22,2021-01-28,65,30 et plus,50 à 150,0 à 300
21014,21,2021-01-22,2021-01-28,0,0 à 1,20 à 50,2500 et plus
21014,21,2021-01-22,2021-01-28,65,1 à 5,0 à 10,0 à 300
21015,21,2021-01-22,2021-01-28,0,0 à 1,0 à 10,2500 et plus
21015,21,2021-01-22,2021-01-28,65,0 à 1,0 à 10,2500 et plus
21016,21,2021-01-22,2021-01-28,0,10 à 15,500 à 1000,2500 et plus
21016,21,2021-01-22,2021-01-28,65,10 à 15,500 à 1000,2500 et plus
21017,21,2021-01-22,2021-01-28,0,1 à 5,20 à 50,2500 et plus
21017,21,2021-01-22,2021-01-28,65,1 à 5,150 à 250,2500 et plus
