debut_7j,fin_7j,Bourgogne-Franche-Comté,France
2020-05-13,2020-05-19,8.2,8.3
2020-05-14,2020-05-20,8.5,8.5
2020-05-15,2020-05-21,7.5,7.3
2020-05-16,2020-05-22,6.5,7.0
2020-05-17,2020-05-23,6.1,7.0
2020-05-18,2020-05-24,6.0,7.0
2020-05-19,2020-05-25,5.3,6.4
2020-05-20,2020-05-26,4.3,5.9
2020-05-21,2020-05-27,3.8,5.5
2020-05-22,2020-05-28,4.1,6.1
2020-05-23,2020-05-29,3.2,5.8
2020-05-24,2020-05-30,3.2,5.9
2020-05-25,2020-05-31,3.1,6.0
2020-05-26,2020-06-01,2.4,5.2
2020-05-27,2020-06-02,2.9,5.1
2020-05-28,2020-06-03,2.9,5.1
2020-05-29,2020-06-04,2.9,5.0
2020-05-30,2020-06-05,3.1,5.0
2020-05-31,2020-06-06,2.9,4.9
2020-06-01,2020-06-07,2.8,4.8
2020-06-02,2020-06-08,3.0,5.4
2020-06-03,2020-06-09,2.4,5.1
2020-06-04,2020-06-10,2.5,5.0
2020-06-05,2020-06-11,2.3,5.0
2020-06-06,2020-06-12,2.4,5.0
2020-06-07,2020-06-13,2.2,4.9
2020-06-08,2020-06-14,2.3,4.9
2020-06-09,2020-06-15,2.3,4.8
2020-06-10,2020-06-16,2.3,4.8
2020-06-11,2020-06-17,1.9,5.1
2020-06-12,2020-06-18,1.9,5.0
2020-06-13,2020-06-19,1.9,5.1
2020-06-14,2020-06-20,1.9,5.3
2020-06-15,2020-06-21,1.9,5.3
2020-06-16,2020-06-22,1.8,5.5
2020-06-17,2020-06-23,1.8,5.6
2020-06-18,2020-06-24,1.9,5.5
2020-06-19,2020-06-25,1.9,5.4
2020-06-20,2020-06-26,1.7,5.2
2020-06-21,2020-06-27,1.9,5.2
2020-06-22,2020-06-28,2.0,5.3
2020-06-23,2020-06-29,2.3,5.4
2020-06-24,2020-06-30,2.5,5.5
2020-06-25,2020-07-01,2.8,5.5
2020-06-26,2020-07-02,2.8,5.6
2020-06-27,2020-07-03,2.8,5.9
2020-06-28,2020-07-04,2.8,5.9
2020-06-29,2020-07-05,2.7,5.7
2020-06-30,2020-07-06,2.5,5.7
2020-07-01,2020-07-07,2.5,5.5
2020-07-02,2020-07-08,2.4,5.6
2020-07-03,2020-07-09,2.8,5.8
2020-07-04,2020-07-10,3.1,5.9
2020-07-05,2020-07-11,3.1,5.9
2020-07-06,2020-07-12,3.2,5.9
2020-07-07,2020-07-13,3.4,6.2
2020-07-08,2020-07-14,3.1,5.7
2020-07-09,2020-07-15,2.9,5.9
2020-07-10,2020-07-16,2.6,6.3
2020-07-11,2020-07-17,2.9,6.5
2020-07-12,2020-07-18,2.7,6.6
2020-07-13,2020-07-19,2.7,6.7
2020-07-14,2020-07-20,2.9,6.9
2020-07-15,2020-07-21,3.1,8.3
2020-07-16,2020-07-22,2.9,8.8
2020-07-17,2020-07-23,3.4,9.0
2020-07-18,2020-07-24,3.4,9.5
2020-07-19,2020-07-25,3.6,9.8
2020-07-20,2020-07-26,3.6,9.9
2020-07-21,2020-07-27,3.9,10.5
2020-07-22,2020-07-28,4.0,10.9
2020-07-23,2020-07-29,4.3,11.3
2020-07-24,2020-07-30,4.2,11.9
2020-07-25,2020-07-31,4.3,12.5
2020-07-26,2020-08-01,4.2,12.7
2020-07-27,2020-08-02,4.2,12.7
2020-07-28,2020-08-03,4.3,13.6
2020-07-29,2020-08-04,4.5,14.5
2020-07-30,2020-08-05,5.0,15.3
2020-07-31,2020-08-06,5.4,16.2
2020-08-01,2020-08-07,5.8,17.2
2020-08-02,2020-08-08,6.1,17.5
2020-08-03,2020-08-09,6.1,17.8
2020-08-04,2020-08-10,6.4,19.0
2020-08-05,2020-08-11,7.1,20.0
2020-08-06,2020-08-12,7.4,21.4
2020-08-07,2020-08-13,8.0,23.4
2020-08-08,2020-08-14,9.0,25.8
2020-08-09,2020-08-15,9.1,25.4
2020-08-10,2020-08-16,9.8,25.8
2020-08-11,2020-08-17,11.9,29.1
2020-08-12,2020-08-18,13.9,32.1
2020-08-13,2020-08-19,15.4,35.0
2020-08-14,2020-08-20,16.7,37.4
2020-08-15,2020-08-21,18.8,39.3
2020-08-16,2020-08-22,20.3,41.5
2020-08-17,2020-08-23,20.8,41.9
2020-08-18,2020-08-24,22.5,44.8
2020-08-19,2020-08-25,23.8,47.9
2020-08-20,2020-08-26,26.1,50.7
2020-08-21,2020-08-27,29.2,54.0
2020-08-22,2020-08-28,31.7,57.7
2020-08-23,2020-08-29,32.4,58.9
2020-08-24,2020-08-30,32.3,59.4
2020-08-25,2020-08-31,34.0,63.1
2020-08-26,2020-09-01,36.1,66.2
2020-08-27,2020-09-02,37.0,69.7
2020-08-28,2020-09-03,37.7,73.3
2020-08-29,2020-09-04,39.2,76.9
2020-08-30,2020-09-05,40.3,78.5
2020-08-31,2020-09-06,40.7,78.7
2020-09-01,2020-09-07,43.8,82.9
2020-09-02,2020-09-08,46.8,87.0
2020-09-03,2020-09-09,48.0,90.4
2020-09-04,2020-09-10,51.2,93.8
2020-09-05,2020-09-11,53.6,95.6
2020-09-06,2020-09-12,55.0,96.2
2020-09-07,2020-09-13,55.8,96.4
2020-09-08,2020-09-14,57.8,100.1
2020-09-09,2020-09-15,57.8,102.9
2020-09-10,2020-09-16,61.6,106.0
2020-09-11,2020-09-17,63.7,108.5
2020-09-12,2020-09-18,64.7,111.5
2020-09-13,2020-09-19,64.2,112.6
2020-09-14,2020-09-20,64.5,112.9
2020-09-15,2020-09-21,65.0,114.3
2020-09-16,2020-09-22,67.8,115.3
2020-09-17,2020-09-23,67.9,114.7
2020-09-18,2020-09-24,68.4,113.1
2020-09-19,2020-09-25,66.5,111.7
2020-09-20,2020-09-26,67.3,111.0
2020-09-21,2020-09-27,66.2,110.4
2020-09-22,2020-09-28,65.4,107.6
2020-09-23,2020-09-29,62.8,105.4
2020-09-24,2020-09-30,64.8,105.9
2020-09-25,2020-10-01,64.0,108.8
2020-09-26,2020-10-02,68.2,114.6
2020-09-27,2020-10-03,69.6,118.2
2020-09-28,2020-10-04,69.2,119.1
2020-09-29,2020-10-05,75.0,130.6
2020-09-30,2020-10-06,79.0,140.8
2020-10-01,2020-10-07,86.5,151.8
2020-10-02,2020-10-08,93.7,163.6
2020-10-03,2020-10-09,105.4,175.3
2020-10-04,2020-10-10,109.9,181.4
2020-10-05,2020-10-11,111.1,183.3
2020-10-06,2020-10-12,128.1,198.6
2020-10-07,2020-10-13,146.8,211.9
2020-10-08,2020-10-14,159.5,223.9
2020-10-09,2020-10-15,177.9,238.0
2020-10-10,2020-10-16,195.5,252.3
2020-10-11,2020-10-17,208.8,258.2
2020-10-12,2020-10-18,210.9,260.4
2020-10-13,2020-10-19,233.1,280.6
2020-10-14,2020-10-20,264.1,304.1
2020-10-15,2020-10-21,301.9,330.9
2020-10-16,2020-10-22,339.3,359.3
2020-10-17,2020-10-23,380.7,391.8
2020-10-18,2020-10-24,400.3,406.5
2020-10-19,2020-10-25,407.7,410.4
2020-10-20,2020-10-26,463.8,445.3
2020-10-21,2020-10-27,504.6,470.9
2020-10-22,2020-10-28,527.8,486.1
2020-10-23,2020-10-29,547.2,493.6
2020-10-24,2020-10-30,564.7,498.4
2020-10-25,2020-10-31,580.7,500.1
2020-10-26,2020-11-01,579.8,499.6
2020-10-27,2020-11-02,604.2,501.6
2020-10-28,2020-11-03,618.8,498.0
2020-10-29,2020-11-04,629.6,487.8
2020-10-30,2020-11-05,632.4,474.0
2020-10-31,2020-11-06,622.8,453.8
2020-11-01,2020-11-07,605.7,441.4
2020-11-02,2020-11-08,604.4,437.5
2020-11-03,2020-11-09,564.8,404.1
2020-11-04,2020-11-10,533.9,371.8
2020-11-05,2020-11-11,437.4,305.1
2020-11-06,2020-11-12,419.8,289.6
2020-11-07,2020-11-13,394.6,265.6
2020-11-08,2020-11-14,378.1,255.3
2020-11-09,2020-11-15,373.8,252.8
2020-11-10,2020-11-16,340.6,227.0
2020-11-11,2020-11-17,303.4,203.8
2020-11-12,2020-11-18,334.6,221.6
2020-11-13,2020-11-19,294.1,192.3
2020-11-14,2020-11-20,262.4,173.3
2020-11-15,2020-11-21,253.2,167.8
2020-11-16,2020-11-22,251.5,166.5
2020-11-17,2020-11-23,226.4,147.7
2020-11-18,2020-11-24,207.2,135.7
2020-11-19,2020-11-25,196.8,128.6
2020-11-20,2020-11-26,188.8,122.2
2020-11-21,2020-11-27,182.8,116.6
2020-11-22,2020-11-28,182.4,114.8
2020-11-23,2020-11-29,182.6,114.5
2020-11-24,2020-11-30,181.9,111.7
2020-11-25,2020-12-01,178.2,109.7
2020-11-26,2020-12-02,177.6,108.0
2020-11-27,2020-12-03,176.2,107.2
2020-11-28,2020-12-04,179.5,107.4
2020-11-29,2020-12-05,179.9,108.1
2020-11-30,2020-12-06,179.8,108.3
2020-12-01,2020-12-07,183.5,109.6
2020-12-02,2020-12-08,189.4,110.9
2020-12-03,2020-12-09,196.5,112.7
2020-12-04,2020-12-10,200.7,115.0
2020-12-05,2020-12-11,203.4,117.3
2020-12-06,2020-12-12,209.2,119.1
2020-12-07,2020-12-13,210.3,119.6
2020-12-08,2020-12-14,218.2,124.0
2020-12-09,2020-12-15,228.3,128.0
2020-12-10,2020-12-16,235.6,132.0
2020-12-11,2020-12-17,242.0,135.5
2020-12-12,2020-12-18,248.9,140.6
2020-12-13,2020-12-19,250.0,144.9
2020-12-14,2020-12-20,250.3,147.3
2020-12-15,2020-12-21,258.6,149.8
2020-12-16,2020-12-22,262.0,153.4
2020-12-17,2020-12-23,259.0,155.6
2020-12-18,2020-12-24,253.2,151.3
2020-12-19,2020-12-25,213.6,127.1
2020-12-20,2020-12-26,215.5,125.8
2020-12-21,2020-12-27,214.6,123.6
2020-12-22,2020-12-28,213.5,125.5
2020-12-23,2020-12-29,217.4,128.1
2020-12-24,2020-12-30,225.9,132.5
2020-12-25,2020-12-31,234.5,137.1
2020-12-26,2021-01-01,235.5,137.6
2020-12-27,2021-01-02,245.2,143.7
2020-12-28,2021-01-03,246.6,144.9
2020-12-29,2021-01-04,258.9,154.3
2020-12-30,2021-01-05,260.7,158.7
2020-12-31,2021-01-06,256.3,159.6
2021-01-01,2021-01-07,256.1,164.9
2021-01-02,2021-01-08,295.4,193.1
2021-01-03,2021-01-09,286.9,189.7
2021-01-04,2021-01-10,285.1,189.3
2021-01-05,2021-01-11,274.6,187.5
2021-01-06,2021-01-12,259.0,185.4
2021-01-07,2021-01-13,251.1,186.1
2021-01-08,2021-01-14,246.7,188.2
2021-01-09,2021-01-15,245.9,190.8
2021-01-10,2021-01-16,243.2,192.2
2021-01-11,2021-01-17,243.0,192.7
2021-01-12,2021-01-18,236.5,197.2
2021-01-13,2021-01-19,244.7,200.8
2021-01-14,2021-01-20,245.1,203.5
2021-01-15,2021-01-21,246.2,206.5
2021-01-16,2021-01-22,247.0,209.6
2021-01-17,2021-01-23,247.0,211.2
2021-01-18,2021-01-24,246.3,211.1
2021-01-19,2021-01-25,246.4,212.4
2021-01-20,2021-01-26,239.1,211.8
2021-01-21,2021-01-27,234.6,211.3
2021-01-22,2021-01-28,230.6,211.5
2021-01-23,2021-01-29,225.4,211.2
