nom_reg,debut_7j,fin_7j,Taux d'incidence,Taux de positivité
Bourgogne-Franche-Comté,2020-05-13,2020-05-19,8.2,1.8
Bourgogne-Franche-Comté,2020-05-14,2020-05-20,8.5,1.8
Bourgogne-Franche-Comté,2020-05-15,2020-05-21,7.5,1.8
Bourgogne-Franche-Comté,2020-05-16,2020-05-22,6.5,1.7
Bourgogne-Franche-Comté,2020-05-17,2020-05-23,6.1,1.6
Bourgogne-Franche-Comté,2020-05-18,2020-05-24,6.0,1.5
Bourgogne-Franche-Comté,2020-05-19,2020-05-25,5.3,1.4
Bourgogne-Franche-Comté,2020-05-20,2020-05-26,4.3,1.1
Bourgogne-Franche-Comté,2020-05-21,2020-05-27,3.8,1.1
Bourgogne-Franche-Comté,2020-05-22,2020-05-28,4.1,1.0
Bourgogne-Franche-Comté,2020-05-23,2020-05-29,3.2,0.8
Bourgogne-Franche-Comté,2020-05-24,2020-05-30,3.2,0.8
Bourgogne-Franche-Comté,2020-05-25,2020-05-31,3.1,0.8
Bourgogne-Franche-Comté,2020-05-26,2020-06-01,2.4,0.7
Bourgogne-Franche-Comté,2020-05-27,2020-06-02,2.9,0.9
Bourgogne-Franche-Comté,2020-05-28,2020-06-03,2.9,0.9
Bourgogne-Franche-Comté,2020-05-29,2020-06-04,2.9,0.9
Bourgogne-Franche-Comté,2020-05-30,2020-06-05,3.1,0.9
Bourgogne-Franche-Comté,2020-05-31,2020-06-06,2.9,0.9
Bourgogne-Franche-Comté,2020-06-01,2020-06-07,2.8,0.8
Bourgogne-Franche-Comté,2020-06-02,2020-06-08,3.0,0.8
Bourgogne-Franche-Comté,2020-06-03,2020-06-09,2.4,0.6
Bourgogne-Franche-Comté,2020-06-04,2020-06-10,2.5,0.7
Bourgogne-Franche-Comté,2020-06-05,2020-06-11,2.3,0.6
Bourgogne-Franche-Comté,2020-06-06,2020-06-12,2.4,0.6
Bourgogne-Franche-Comté,2020-06-07,2020-06-13,2.2,0.6
Bourgogne-Franche-Comté,2020-06-08,2020-06-14,2.3,0.6
Bourgogne-Franche-Comté,2020-06-09,2020-06-15,2.3,0.6
Bourgogne-Franche-Comté,2020-06-10,2020-06-16,2.3,0.6
Bourgogne-Franche-Comté,2020-06-11,2020-06-17,1.9,0.5
Bourgogne-Franche-Comté,2020-06-12,2020-06-18,1.9,0.5
Bourgogne-Franche-Comté,2020-06-13,2020-06-19,1.9,0.5
Bourgogne-Franche-Comté,2020-06-14,2020-06-20,1.9,0.5
Bourgogne-Franche-Comté,2020-06-15,2020-06-21,1.9,0.5
Bourgogne-Franche-Comté,2020-06-16,2020-06-22,1.8,0.5
Bourgogne-Franche-Comté,2020-06-17,2020-06-23,1.8,0.5
Bourgogne-Franche-Comté,2020-06-18,2020-06-24,1.9,0.5
Bourgogne-Franche-Comté,2020-06-19,2020-06-25,1.9,0.5
Bourgogne-Franche-Comté,2020-06-20,2020-06-26,1.7,0.5
Bourgogne-Franche-Comté,2020-06-21,2020-06-27,1.9,0.5
Bourgogne-Franche-Comté,2020-06-22,2020-06-28,2.0,0.6
Bourgogne-Franche-Comté,2020-06-23,2020-06-29,2.3,0.6
Bourgogne-Franche-Comté,2020-06-24,2020-06-30,2.5,0.6
Bourgogne-Franche-Comté,2020-06-25,2020-07-01,2.8,0.7
Bourgogne-Franche-Comté,2020-06-26,2020-07-02,2.8,0.6
Bourgogne-Franche-Comté,2020-06-27,2020-07-03,2.8,0.6
Bourgogne-Franche-Comté,2020-06-28,2020-07-04,2.8,0.6
Bourgogne-Franche-Comté,2020-06-29,2020-07-05,2.7,0.6
Bourgogne-Franche-Comté,2020-06-30,2020-07-06,2.5,0.5
Bourgogne-Franche-Comté,2020-07-01,2020-07-07,2.5,0.5
Bourgogne-Franche-Comté,2020-07-02,2020-07-08,2.4,0.5
Bourgogne-Franche-Comté,2020-07-03,2020-07-09,2.8,0.5
Bourgogne-Franche-Comté,2020-07-04,2020-07-10,3.1,0.6
Bourgogne-Franche-Comté,2020-07-05,2020-07-11,3.1,0.6
Bourgogne-Franche-Comté,2020-07-06,2020-07-12,3.2,0.6
Bourgogne-Franche-Comté,2020-07-07,2020-07-13,3.4,0.6
Bourgogne-Franche-Comté,2020-07-08,2020-07-14,3.1,0.6
Bourgogne-Franche-Comté,2020-07-09,2020-07-15,2.9,0.6
Bourgogne-Franche-Comté,2020-07-10,2020-07-16,2.6,0.5
Bourgogne-Franche-Comté,2020-07-11,2020-07-17,2.9,0.5
Bourgogne-Franche-Comté,2020-07-12,2020-07-18,2.7,0.5
Bourgogne-Franche-Comté,2020-07-13,2020-07-19,2.7,0.5
Bourgogne-Franche-Comté,2020-07-14,2020-07-20,2.9,0.5
Bourgogne-Franche-Comté,2020-07-15,2020-07-21,3.1,0.5
Bourgogne-Franche-Comté,2020-07-16,2020-07-22,2.9,0.4
Bourgogne-Franche-Comté,2020-07-17,2020-07-23,3.4,0.5
Bourgogne-Franche-Comté,2020-07-18,2020-07-24,3.4,0.5
Bourgogne-Franche-Comté,2020-07-19,2020-07-25,3.6,0.5
Bourgogne-Franche-Comté,2020-07-20,2020-07-26,3.6,0.5
Bourgogne-Franche-Comté,2020-07-21,2020-07-27,3.9,0.6
Bourgogne-Franche-Comté,2020-07-22,2020-07-28,4.0,0.6
Bourgogne-Franche-Comté,2020-07-23,2020-07-29,4.3,0.7
Bourgogne-Franche-Comté,2020-07-24,2020-07-30,4.2,0.6
Bourgogne-Franche-Comté,2020-07-25,2020-07-31,4.3,0.6
Bourgogne-Franche-Comté,2020-07-26,2020-08-01,4.2,0.6
Bourgogne-Franche-Comté,2020-07-27,2020-08-02,4.2,0.6
Bourgogne-Franche-Comté,2020-07-28,2020-08-03,4.3,0.7
Bourgogne-Franche-Comté,2020-07-29,2020-08-04,4.5,0.7
Bourgogne-Franche-Comté,2020-07-30,2020-08-05,5.0,0.8
Bourgogne-Franche-Comté,2020-07-31,2020-08-06,5.4,0.8
Bourgogne-Franche-Comté,2020-08-01,2020-08-07,5.8,0.9
Bourgogne-Franche-Comté,2020-08-02,2020-08-08,6.1,1.0
Bourgogne-Franche-Comté,2020-08-03,2020-08-09,6.1,1.0
Bourgogne-Franche-Comté,2020-08-04,2020-08-10,6.4,1.0
Bourgogne-Franche-Comté,2020-08-05,2020-08-11,7.1,1.2
Bourgogne-Franche-Comté,2020-08-06,2020-08-12,7.4,1.2
Bourgogne-Franche-Comté,2020-08-07,2020-08-13,8.0,1.3
Bourgogne-Franche-Comté,2020-08-08,2020-08-14,9.0,1.3
Bourgogne-Franche-Comté,2020-08-09,2020-08-15,9.1,1.4
Bourgogne-Franche-Comté,2020-08-10,2020-08-16,9.8,1.5
Bourgogne-Franche-Comté,2020-08-11,2020-08-17,11.9,1.7
Bourgogne-Franche-Comté,2020-08-12,2020-08-18,13.9,1.8
