nom_dep,debut_7j,fin_7j,Taux d'incidence,Taux de positivité
Côte-d'Or,2020-05-13,2020-05-19,8.4,2.2
Côte-d'Or,2020-05-14,2020-05-20,8.6,2.2
Côte-d'Or,2020-05-15,2020-05-21,7.3,2.2
Côte-d'Or,2020-05-16,2020-05-22,8.4,2.7
Côte-d'Or,2020-05-17,2020-05-23,7.7,2.4
Côte-d'Or,2020-05-18,2020-05-24,7.9,2.5
Côte-d'Or,2020-05-19,2020-05-25,6.8,2.2
Côte-d'Or,2020-05-20,2020-05-26,4.9,1.6
Côte-d'Or,2020-05-21,2020-05-27,4.9,1.7
Côte-d'Or,2020-05-22,2020-05-28,5.4,1.7
Côte-d'Or,2020-05-23,2020-05-29,3.4,1.1
Côte-d'Or,2020-05-24,2020-05-30,3.8,1.2
Côte-d'Or,2020-05-25,2020-05-31,3.6,1.1
Côte-d'Or,2020-05-26,2020-06-01,2.8,1.0
Côte-d'Or,2020-05-27,2020-06-02,2.4,0.9
Côte-d'Or,2020-05-28,2020-06-03,1.5,0.6
Côte-d'Or,2020-05-29,2020-06-04,1.1,0.4
Côte-d'Or,2020-05-30,2020-06-05,0.8,0.3
Côte-d'Or,2020-05-31,2020-06-06,0.6,0.2
Côte-d'Or,2020-06-01,2020-06-07,0.6,0.2
Côte-d'Or,2020-06-02,2020-06-08,1.1,0.4
Côte-d'Or,2020-06-03,2020-06-09,1.3,0.4
Côte-d'Or,2020-06-04,2020-06-10,1.3,0.4
Côte-d'Or,2020-06-05,2020-06-11,1.5,0.5
Côte-d'Or,2020-06-06,2020-06-12,2.4,0.8
Côte-d'Or,2020-06-07,2020-06-13,2.3,0.7
Côte-d'Or,2020-06-08,2020-06-14,2.3,0.7
Côte-d'Or,2020-06-09,2020-06-15,2.6,0.8
Côte-d'Or,2020-06-10,2020-06-16,2.8,1.0
Côte-d'Or,2020-06-11,2020-06-17,3.0,1.0
Côte-d'Or,2020-06-12,2020-06-18,3.6,1.3
Côte-d'Or,2020-06-13,2020-06-19,2.8,1.0
Côte-d'Or,2020-06-14,2020-06-20,2.8,1.0
Côte-d'Or,2020-06-15,2020-06-21,2.8,1.0
Côte-d'Or,2020-06-16,2020-06-22,2.3,0.8
Côte-d'Or,2020-06-17,2020-06-23,2.4,0.8
Côte-d'Or,2020-06-18,2020-06-24,2.8,0.9
Côte-d'Or,2020-06-19,2020-06-25,1.9,0.6
Côte-d'Or,2020-06-20,2020-06-26,2.1,0.6
Côte-d'Or,2020-06-21,2020-06-27,2.1,0.6
Côte-d'Or,2020-06-22,2020-06-28,2.1,0.6
Côte-d'Or,2020-06-23,2020-06-29,1.9,0.5
Côte-d'Or,2020-06-24,2020-06-30,1.9,0.5
Côte-d'Or,2020-06-25,2020-07-01,1.7,0.5
Côte-d'Or,2020-06-26,2020-07-02,1.7,0.4
Côte-d'Or,2020-06-27,2020-07-03,1.5,0.4
Côte-d'Or,2020-06-28,2020-07-04,1.5,0.4
Côte-d'Or,2020-06-29,2020-07-05,1.5,0.4
Côte-d'Or,2020-06-30,2020-07-06,1.5,0.4
Côte-d'Or,2020-07-01,2020-07-07,1.3,0.3
Côte-d'Or,2020-07-02,2020-07-08,1.5,0.4
Côte-d'Or,2020-07-03,2020-07-09,2.8,0.7
Côte-d'Or,2020-07-04,2020-07-10,2.8,0.6
Côte-d'Or,2020-07-05,2020-07-11,3.4,0.7
Côte-d'Or,2020-07-06,2020-07-12,3.4,0.8
Côte-d'Or,2020-07-07,2020-07-13,3.4,0.7
Côte-d'Or,2020-07-08,2020-07-14,3.0,0.7
Côte-d'Or,2020-07-09,2020-07-15,3.0,0.7
Côte-d'Or,2020-07-10,2020-07-16,2.1,0.4
Côte-d'Or,2020-07-11,2020-07-17,2.8,0.5
Côte-d'Or,2020-07-12,2020-07-18,2.4,0.4
Côte-d'Or,2020-07-13,2020-07-19,2.6,0.4
Côte-d'Or,2020-07-14,2020-07-20,3.2,0.5
Côte-d'Or,2020-07-15,2020-07-21,3.0,0.4
Côte-d'Or,2020-07-16,2020-07-22,3.0,0.4
Côte-d'Or,2020-07-17,2020-07-23,3.9,0.5
Côte-d'Or,2020-07-18,2020-07-24,3.6,0.5
Côte-d'Or,2020-07-19,2020-07-25,3.9,0.5
Côte-d'Or,2020-07-20,2020-07-26,3.8,0.5
Côte-d'Or,2020-07-21,2020-07-27,4.5,0.6
Côte-d'Or,2020-07-22,2020-07-28,5.3,0.7
Côte-d'Or,2020-07-23,2020-07-29,5.3,0.7
Côte-d'Or,2020-07-24,2020-07-30,4.3,0.5
Côte-d'Or,2020-07-25,2020-07-31,4.9,0.6
Côte-d'Or,2020-07-26,2020-08-01,4.5,0.6
Côte-d'Or,2020-07-27,2020-08-02,4.9,0.7
Côte-d'Or,2020-07-28,2020-08-03,5.1,0.7
Côte-d'Or,2020-07-29,2020-08-04,5.3,0.7
Côte-d'Or,2020-07-30,2020-08-05,6.9,1.0
