debut_7j,fin_7j,Bourgogne-Franche-Comté,France
2020-05-13,2020-05-19,1.8,2.2
2020-05-14,2020-05-20,1.8,2.1
2020-05-15,2020-05-21,1.8,2.1
2020-05-16,2020-05-22,1.7,2.0
2020-05-17,2020-05-23,1.6,1.9
2020-05-18,2020-05-24,1.5,1.9
2020-05-19,2020-05-25,1.4,1.8
2020-05-20,2020-05-26,1.1,1.6
2020-05-21,2020-05-27,1.1,1.5
2020-05-22,2020-05-28,1.0,1.5
2020-05-23,2020-05-29,0.8,1.4
2020-05-24,2020-05-30,0.8,1.5
2020-05-25,2020-05-31,0.8,1.5
2020-05-26,2020-06-01,0.7,1.5
2020-05-27,2020-06-02,0.9,1.5
2020-05-28,2020-06-03,0.9,1.5
2020-05-29,2020-06-04,0.9,1.5
2020-05-30,2020-06-05,0.9,1.5
2020-05-31,2020-06-06,0.9,1.5
2020-06-01,2020-06-07,0.8,1.5
2020-06-02,2020-06-08,0.8,1.4
2020-06-03,2020-06-09,0.6,1.4
2020-06-04,2020-06-10,0.7,1.4
2020-06-05,2020-06-11,0.6,1.4
2020-06-06,2020-06-12,0.6,1.4
2020-06-07,2020-06-13,0.6,1.4
2020-06-08,2020-06-14,0.6,1.4
2020-06-09,2020-06-15,0.6,1.4
2020-06-10,2020-06-16,0.6,1.4
2020-06-11,2020-06-17,0.5,1.5
2020-06-12,2020-06-18,0.5,1.4
2020-06-13,2020-06-19,0.5,1.5
2020-06-14,2020-06-20,0.5,1.5
2020-06-15,2020-06-21,0.5,1.5
2020-06-16,2020-06-22,0.5,1.5
2020-06-17,2020-06-23,0.5,1.5
2020-06-18,2020-06-24,0.5,1.5
2020-06-19,2020-06-25,0.5,1.4
2020-06-20,2020-06-26,0.5,1.3
2020-06-21,2020-06-27,0.5,1.3
2020-06-22,2020-06-28,0.6,1.4
2020-06-23,2020-06-29,0.6,1.3
2020-06-24,2020-06-30,0.6,1.3
2020-06-25,2020-07-01,0.7,1.2
2020-06-26,2020-07-02,0.6,1.2
2020-06-27,2020-07-03,0.6,1.2
2020-06-28,2020-07-04,0.6,1.2
2020-06-29,2020-07-05,0.6,1.2
2020-06-30,2020-07-06,0.5,1.1
2020-07-01,2020-07-07,0.5,1.1
2020-07-02,2020-07-08,0.5,1.1
2020-07-03,2020-07-09,0.5,1.1
2020-07-04,2020-07-10,0.6,1.0
2020-07-05,2020-07-11,0.6,1.0
2020-07-06,2020-07-12,0.6,1.0
2020-07-07,2020-07-13,0.6,1.1
2020-07-08,2020-07-14,0.6,1.1
2020-07-09,2020-07-15,0.6,1.1
2020-07-10,2020-07-16,0.5,1.1
2020-07-11,2020-07-17,0.5,1.1
2020-07-12,2020-07-18,0.5,1.1
2020-07-13,2020-07-19,0.5,1.1
2020-07-14,2020-07-20,0.5,1.1
2020-07-15,2020-07-21,0.5,1.1
2020-07-16,2020-07-22,0.4,1.2
2020-07-17,2020-07-23,0.5,1.2
2020-07-18,2020-07-24,0.5,1.3
2020-07-19,2020-07-25,0.5,1.3
2020-07-20,2020-07-26,0.5,1.3
2020-07-21,2020-07-27,0.6,1.4
2020-07-22,2020-07-28,0.6,1.4
2020-07-23,2020-07-29,0.7,1.4
2020-07-24,2020-07-30,0.6,1.4
2020-07-25,2020-07-31,0.6,1.4
2020-07-26,2020-08-01,0.6,1.4
2020-07-27,2020-08-02,0.6,1.4
2020-07-28,2020-08-03,0.7,1.5
2020-07-29,2020-08-04,0.7,1.6
2020-07-30,2020-08-05,0.8,1.7
2020-07-31,2020-08-06,0.8,1.8
2020-08-01,2020-08-07,0.9,1.9
2020-08-02,2020-08-08,1.0,1.9
2020-08-03,2020-08-09,1.0,2.0
2020-08-04,2020-08-10,1.0,2.1
2020-08-05,2020-08-11,1.2,2.2
2020-08-06,2020-08-12,1.2,2.3
2020-08-07,2020-08-13,1.3,2.5
2020-08-08,2020-08-14,1.3,2.7
2020-08-09,2020-08-15,1.4,2.7
2020-08-10,2020-08-16,1.5,2.7
2020-08-11,2020-08-17,1.7,2.9
2020-08-12,2020-08-18,1.8,3.1
2020-08-13,2020-08-19,1.9,3.2
2020-08-14,2020-08-20,1.9,3.3
2020-08-15,2020-08-21,2.0,3.3
2020-08-16,2020-08-22,2.0,3.3
2020-08-17,2020-08-23,2.0,3.3
2020-08-18,2020-08-24,2.0,3.4
2020-08-19,2020-08-25,2.0,3.5
2020-08-20,2020-08-26,2.1,3.6
2020-08-21,2020-08-27,2.2,3.7
2020-08-22,2020-08-28,2.3,3.8
2020-08-23,2020-08-29,2.3,3.8
2020-08-24,2020-08-30,2.3,3.8
2020-08-25,2020-08-31,2.4,3.9
2020-08-26,2020-09-01,2.5,4.1
2020-08-27,2020-09-02,2.5,4.2
2020-08-28,2020-09-03,2.5,4.4
2020-08-29,2020-09-04,2.6,4.6
2020-08-30,2020-09-05,2.6,4.6
2020-08-31,2020-09-06,2.7,4.6
2020-09-01,2020-09-07,2.8,4.8
2020-09-02,2020-09-08,2.9,4.8
2020-09-03,2020-09-09,2.8,4.9
2020-09-04,2020-09-10,2.9,4.9
2020-09-05,2020-09-11,2.8,4.8
