jour,Département,Nouvelles hospitalisations en 24h,Nouvelles entrées en réanimation en 24h,Nouveaux décès à l'hôpital en 24h,Nouveaux retours à domicile en 24h
2020-03-19,Côte-d'Or,26,11,2,24
2020-03-19,Doubs,12,11,2,5
2020-03-19,Jura,1,0,0,0
2020-03-19,Nièvre,1,1,0,0
2020-03-19,Haute-Saône,8,2,0,1
2020-03-19,Saône-et-Loire,18,3,2,5
2020-03-19,Yonne,2,2,2,0
2020-03-19,Territoire de Belfort,28,3,5,0
2020-03-20,Côte-d'Or,39,4,1,9
2020-03-20,Doubs,12,1,1,0
2020-03-20,Jura,5,0,0,1
2020-03-20,Nièvre,0,0,0,0
2020-03-20,Haute-Saône,8,1,0,2
2020-03-20,Saône-et-Loire,10,2,1,3
2020-03-20,Yonne,2,0,0,0
2020-03-20,Territoire de Belfort,1,1,0,0
2020-03-21,Côte-d'Or,2,0,1,10
2020-03-21,Doubs,13,6,2,7
2020-03-21,Jura,1,0,0,0
2020-03-21,Nièvre,0,0,0,0
2020-03-21,Haute-Saône,4,2,0,0
2020-03-21,Saône-et-Loire,11,1,2,10
2020-03-21,Yonne,2,0,0,0
2020-03-21,Territoire de Belfort,34,2,9,10
2020-03-22,Côte-d'Or,42,11,3,27
2020-03-22,Doubs,24,1,3,4
2020-03-22,Jura,2,0,0,0
2020-03-22,Nièvre,1,1,0,0
2020-03-22,Haute-Saône,0,1,0,0
2020-03-22,Saône-et-Loire,42,0,2,27
2020-03-22,Yonne,1,0,0,0
2020-03-22,Territoire de Belfort,18,0,5,19
2020-03-23,Côte-d'Or,21,2,6,12
2020-03-23,Doubs,1,0,1,2
2020-03-23,Jura,2,0,0,0
2020-03-23,Nièvre,1,0,0,0
2020-03-23,Haute-Saône,3,2,0,0
2020-03-23,Saône-et-Loire,22,1,1,3
2020-03-23,Yonne,3,4,0,0
2020-03-23,Territoire de Belfort,34,3,6,2
2020-03-24,Côte-d'Or,42,0,9,22
2020-03-24,Doubs,24,5,1,5
2020-03-24,Jura,14,1,0,2
2020-03-24,Nièvre,0,0,0,0
2020-03-24,Haute-Saône,16,7,3,3
2020-03-24,Saône-et-Loire,63,5,7,49
2020-03-24,Yonne,2,0,0,0
2020-03-24,Territoire de Belfort,24,1,3,7
2020-03-25,Côte-d'Or,76,10,5,22
2020-03-25,Doubs,17,2,1,15
2020-03-25,Jura,5,2,0,0
2020-03-25,Nièvre,0,0,0,0
2020-03-25,Haute-Saône,15,8,3,3
2020-03-25,Saône-et-Loire,43,4,5,21
2020-03-25,Yonne,13,2,0,0
2020-03-25,Territoire de Belfort,35,2,3,6
2020-03-26,Côte-d'Or,27,0,5,12
2020-03-26,Doubs,17,4,6,8
2020-03-26,Jura,16,5,0,0
2020-03-26,Nièvre,1,0,0,0
2020-03-26,Haute-Saône,21,4,0,2
2020-03-26,Saône-et-Loire,66,3,4,21
2020-03-26,Yonne,5,1,1,1
2020-03-26,Territoire de Belfort,12,2,5,10
2020-03-27,Côte-d'Or,9,3,2,0
2020-03-27,Doubs,27,8,3,8
2020-03-27,Jura,6,3,0,1
2020-03-27,Nièvre,2,1,0,0
2020-03-27,Haute-Saône,15,3,0,9
2020-03-27,Saône-et-Loire,23,5,3,5
2020-03-27,Yonne,2,0,0,0
2020-03-27,Territoire de Belfort,25,1,8,10
2020-03-28,Côte-d'Or,52,8,1,17
2020-03-28,Doubs,5,1,1,14
2020-03-28,Jura,5,0,1,9
2020-03-28,Nièvre,2,1,0,1
2020-03-28,Haute-Saône,8,4,3,5
2020-03-28,Saône-et-Loire,37,5,2,17
2020-03-28,Yonne,1,0,0,0
2020-03-28,Territoire de Belfort,17,2,1,0
2020-03-29,Côte-d'Or,44,8,2,26
2020-03-29,Doubs,68,14,3,12
2020-03-29,Jura,2,3,0,0
2020-03-29,Nièvre,0,0,0,0
2020-03-29,Haute-Saône,8,3,1,3
2020-03-29,Saône-et-Loire,15,1,2,6
2020-03-29,Yonne,7,2,1,4
2020-03-29,Territoire de Belfort,15,2,7,6
2020-03-30,Côte-d'Or,14,0,0,33
2020-03-30,Doubs,15,1,1,5
2020-03-30,Jura,13,0,1,0
2020-03-30,Nièvre,2,0,0,0
2020-03-30,Haute-Saône,15,4,4,9
2020-03-30,Saône-et-Loire,11,11,7,1
2020-03-30,Yonne,14,2,0,2
2020-03-30,Territoire de Belfort,21,2,10,8
2020-03-31,Côte-d'Or,32,2,5,8
2020-03-31,Doubs,32,8,8,18
2020-03-31,Jura,11,1,1,6
2020-03-31,Nièvre,2,1,2,0
2020-03-31,Haute-Saône,27,8,6,11
2020-03-31,Saône-et-Loire,28,3,5,14
2020-03-31,Yonne,27,2,1,1
2020-03-31,Territoire de Belfort,44,5,0,18
2020-04-01,Côte-d'Or,55,8,3,24
2020-04-01,Doubs,26,7,0,10
2020-04-01,Jura,11,1,1,5
2020-04-01,Nièvre,1,1,1,0
2020-04-01,Haute-Saône,14,3,3,10
2020-04-01,Saône-et-Loire,24,8,3,17
2020-04-01,Yonne,15,5,3,4
2020-04-01,Territoire de Belfort,22,0,4,0
2020-04-02,Côte-d'Or,67,8,18,31
2020-04-02,Doubs,39,9,1,13
2020-04-02,Jura,5,2,0,4
2020-04-02,Nièvre,6,0,1,1
2020-04-02,Haute-Saône,21,3,6,5
2020-04-02,Saône-et-Loire,19,4,3,21
2020-04-02,Yonne,18,1,1,2
2020-04-02,Territoire de Belfort,39,6,11,32
2020-04-03,Côte-d'Or,28,6,5,17
2020-04-03,Doubs,20,14,8,21
2020-04-03,Jura,16,1,6,7
2020-04-03,Nièvre,7,0,1,0
2020-04-03,Haute-Saône,10,1,2,4
2020-04-03,Saône-et-Loire,21,3,7,22
2020-04-03,Yonne,16,2,1,10
2020-04-03,Territoire de Belfort,16,1,3,10
2020-04-04,Côte-d'Or,54,7,3,7
2020-04-04,Doubs,22,7,3,17
2020-04-04,Jura,16,2,3,3
2020-04-04,Nièvre,8,0,0,4
2020-04-04,Haute-Saône,9,3,3,6
2020-04-04,Saône-et-Loire,13,2,3,10
2020-04-04,Yonne,8,0,1,6
2020-04-04,Territoire de Belfort,17,1,5,24
2020-04-05,Côte-d'Or,22,2,4,10
