jour,Hospitalisations en cours,Réanimations en cours
2020-03-18,168,33
2020-03-19,194,47
2020-03-20,270,71
2020-03-21,283,79
2020-03-22,345,83
2020-03-23,411,99
2020-03-24,477,121
2020-03-25,591,150
2020-03-26,679,166
2020-03-27,740,186
2020-03-28,787,194
2020-03-29,873,217
2020-03-30,902,220
2020-03-31,914,212
2020-04-01,963,229
2020-04-02,1017,250
2020-04-03,1028,265
2020-04-04,1075,274
2020-04-05,1120,275
2020-04-06,1176,285
2020-04-07,1212,295
2020-04-08,1227,292
2020-04-09,1211,283
2020-04-10,1282,290
2020-04-11,1239,278
2020-04-12,1294,278
2020-04-13,1309,284
2020-04-14,1361,285
2020-04-15,1341,274
2020-04-16,1370,279
2020-04-17,1380,262
2020-04-18,1351,255
2020-04-19,1327,239
2020-04-20,1334,238
2020-04-21,1319,229
2020-04-22,1334,234
2020-04-23,1283,217
2020-04-24,1233,203
2020-04-25,1216,201
2020-04-26,1218,195
2020-04-27,1210,196
2020-04-28,1199,191
2020-04-29,1186,186
2020-04-30,1181,181
2020-05-01,1140,178
2020-05-02,1139,172
2020-05-03,1143,174
2020-05-04,1141,161
2020-05-05,1113,135
2020-05-06,1111,114
2020-05-07,1049,112
2020-05-08,1011,115
2020-05-09,1002,111
2020-05-10,1000,106
2020-05-11,958,108
2020-05-12,896,105
2020-05-13,879,96
2020-05-14,863,95
2020-05-15,831,94
2020-05-16,811,94
2020-05-17,810,94
2020-05-18,797,86
2020-05-19,758,75
2020-05-20,730,70
2020-05-21,684,67
2020-05-22,661,62
2020-05-23,658,62
2020-05-24,656,61
2020-05-25,624,58
2020-05-26,514,54
2020-05-27,467,49
2020-05-28,448,48
2020-05-29,422,40
2020-05-30,421,34
2020-05-31,416,34
2020-06-01,415,34
2020-06-02,390,32
2020-06-03,351,29
2020-06-04,337,26
2020-06-05,328,25
2020-06-06,324,24
2020-06-07,324,23
2020-06-08,321,22
2020-06-09,299,22
2020-06-10,271,22
2020-06-11,268,22
2020-06-12,234,21
2020-06-13,226,20
2020-06-14,221,20
2020-06-15,223,19
2020-06-16,211,18
2020-06-17,197,15
2020-06-18,192,15
2020-06-19,173,12
2020-06-20,173,12
2020-06-21,173,12
2020-06-22,171,12
2020-06-23,167,13
2020-06-24,162,13
2020-06-25,157,12
2020-06-26,158,12
2020-06-27,161,13
2020-06-28,161,13
2020-06-29,162,12
2020-06-30,147,11
2020-07-01,132,9
2020-07-02,121,7
2020-07-03,110,5
2020-07-04,109,5
2020-07-05,109,5
2020-07-06,109,5
2020-07-07,105,6
2020-07-08,102,7
2020-07-09,86,6
2020-07-10,86,6
2020-07-11,90,8
2020-07-12,90,8
2020-07-13,92,8
2020-07-14,91,8
2020-07-15,89,9
2020-07-16,84,10
2020-07-17,80,7
2020-07-18,75,6
2020-07-19,75,6
2020-07-20,74,6
2020-07-21,59,6
2020-07-22,55,6
2020-07-23,42,6
2020-07-24,36,6
2020-07-25,34,6
2020-07-26,34,6
2020-07-27,33,6
2020-07-28,28,4
2020-07-29,23,4
