jour,Département,Hospitalisations,Réanimations
2020-03-18,Côte-d'Or,60,16
2020-03-18,Doubs,26,3
2020-03-18,Jura,2,1
2020-03-18,Nièvre,0,0
2020-03-18,Haute-Saône,14,4
2020-03-18,Saône-et-Loire,35,0
2020-03-18,Yonne,6,0
2020-03-18,Territoire de Belfort,25,9
2020-03-19,Côte-d'Or,53,19
2020-03-19,Doubs,33,11
2020-03-19,Jura,2,1
2020-03-19,Nièvre,0,0
2020-03-19,Haute-Saône,14,3
2020-03-19,Saône-et-Loire,48,3
2020-03-19,Yonne,5,1
2020-03-19,Territoire de Belfort,39,9
2020-03-20,Côte-d'Or,82,31
2020-03-20,Doubs,43,15
2020-03-20,Jura,6,1
2020-03-20,Nièvre,1,1
2020-03-20,Haute-Saône,26,6
2020-03-20,Saône-et-Loire,53,5
2020-03-20,Yonne,10,3
2020-03-20,Territoire de Belfort,49,9
2020-03-21,Côte-d'Or,79,30
2020-03-21,Doubs,48,21
2020-03-21,Jura,7,1
2020-03-21,Nièvre,1,1
2020-03-21,Haute-Saône,26,6
2020-03-21,Saône-et-Loire,50,6
2020-03-21,Yonne,11,3
2020-03-21,Territoire de Belfort,61,11
2020-03-22,Côte-d'Or,101,31
2020-03-22,Doubs,63,21
2020-03-22,Jura,8,1
2020-03-22,Nièvre,1,1
2020-03-22,Haute-Saône,26,6
2020-03-22,Saône-et-Loire,65,6
2020-03-22,Yonne,13,3
2020-03-22,Territoire de Belfort,68,14
2020-03-23,Côte-d'Or,113,34
2020-03-23,Doubs,65,22
2020-03-23,Jura,10,1
2020-03-23,Nièvre,3,2
2020-03-23,Haute-Saône,26,6
2020-03-23,Saône-et-Loire,84,7
2020-03-23,Yonne,16,7
2020-03-23,Territoire de Belfort,94,20
2020-03-24,Côte-d'Or,114,34
2020-03-24,Doubs,80,26
2020-03-24,Jura,24,2
2020-03-24,Nièvre,3,2
2020-03-24,Haute-Saône,37,13
2020-03-24,Saône-et-Loire,92,14
2020-03-24,Yonne,18,8
2020-03-24,Territoire de Belfort,109,22
2020-03-25,Côte-d'Or,153,42
2020-03-25,Doubs,84,27
2020-03-25,Jura,28,4
2020-03-25,Nièvre,3,2
2020-03-25,Haute-Saône,44,18
2020-03-25,Saône-et-Loire,109,19
2020-03-25,Yonne,32,11
2020-03-25,Territoire de Belfort,138,27
2020-03-26,Côte-d'Or,163,40
2020-03-26,Doubs,84,29
2020-03-26,Jura,45,9
2020-03-26,Nièvre,4,2
2020-03-26,Haute-Saône,62,22
2020-03-26,Saône-et-Loire,149,22
2020-03-26,Yonne,35,12
2020-03-26,Territoire de Belfort,137,30
2020-03-27,Côte-d'Or,170,42
2020-03-27,Doubs,100,37
2020-03-27,Jura,48,12
2020-03-27,Nièvre,6,3
2020-03-27,Haute-Saône,67,23
2020-03-27,Saône-et-Loire,165,27
2020-03-27,Yonne,37,12
2020-03-27,Territoire de Belfort,147,30
2020-03-28,Côte-d'Or,202,45
2020-03-28,Doubs,91,38
2020-03-28,Jura,37,9
2020-03-28,Nièvre,7,4
2020-03-28,Haute-Saône,66,21
2020-03-28,Saône-et-Loire,182,31
2020-03-28,Yonne,38,12
2020-03-28,Territoire de Belfort,164,34
2020-03-29,Côte-d'Or,218,48
2020-03-29,Doubs,148,56
2020-03-29,Jura,37,9
2020-03-29,Nièvre,9,6
2020-03-29,Haute-Saône,66,18
2020-03-29,Saône-et-Loire,184,27
2020-03-29,Yonne,40,13
2020-03-29,Territoire de Belfort,171,40
2020-03-30,Côte-d'Or,211,46
2020-03-30,Doubs,152,53
2020-03-30,Jura,48,9
2020-03-30,Nièvre,12,7
2020-03-30,Haute-Saône,63,16
2020-03-30,Saône-et-Loire,187,34
2020-03-30,Yonne,52,15
2020-03-30,Territoire de Belfort,177,40
2020-03-31,Côte-d'Or,166,40
2020-03-31,Doubs,148,51
2020-03-31,Jura,52,9
2020-03-31,Nièvre,12,8
2020-03-31,Haute-Saône,69,15
2020-03-31,Saône-et-Loire,191,30
2020-03-31,Yonne,75,16
2020-03-31,Territoire de Belfort,201,43
2020-04-01,Côte-d'Or,190,44
2020-04-01,Doubs,161,53
2020-04-01,Jura,55,9
2020-04-01,Nièvre,12,9
2020-04-01,Haute-Saône,68,16
2020-04-01,Saône-et-Loire,173,33
2020-04-01,Yonne,85,21
2020-04-01,Territoire de Belfort,219,44
2020-04-02,Côte-d'Or,202,56
2020-04-02,Doubs,186,62
2020-04-02,Jura,55,10
2020-04-02,Nièvre,15,7
2020-04-02,Haute-Saône,77,15
2020-04-02,Saône-et-Loire,169,35
2020-04-02,Yonne,97,19
2020-04-02,Territoire de Belfort,216,46
2020-04-03,Côte-d'Or,212,62
2020-04-03,Doubs,173,72
2020-04-03,Jura,60,11
2020-04-03,Nièvre,21,7
2020-04-03,Haute-Saône,81,14
2020-04-03,Saône-et-Loire,163,36
2020-04-03,Yonne,101,20
2020-04-03,Territoire de Belfort,217,43
2020-04-04,Côte-d'Or,255,66
2020-04-04,Doubs,175,76
2020-04-04,Jura,70,11
2020-04-04,Nièvre,27,8
2020-04-04,Haute-Saône,80,16
2020-04-04,Saône-et-Loire,162,37
2020-04-04,Yonne,102,19
2020-04-04,Territoire de Belfort,204,41
2020-04-05,Côte-d'Or,259,65
2020-04-05,Doubs,183,73
2020-04-05,Jura,78,11
2020-04-05,Nièvre,34,11
2020-04-05,Haute-Saône,80,17
2020-04-05,Saône-et-Loire,173,37
2020-04-05,Yonne,101,18
2020-04-05,Territoire de Belfort,212,43
2020-04-06,Côte-d'Or,284,76
2020-04-06,Doubs,183,75
2020-04-06,Jura,77,10
2020-04-06,Nièvre,36,10
2020-04-06,Haute-Saône,79,16
2020-04-06,Saône-et-Loire,193,38
2020-04-06,Yonne,103,18
2020-04-06,Territoire de Belfort,221,42
2020-04-07,Côte-d'Or,307,79
2020-04-07,Doubs,196,81
2020-04-07,Jura,90,11
2020-04-07,Nièvre,34,9
2020-04-07,Haute-Saône,84,17
2020-04-07,Saône-et-Loire,191,36
2020-04-07,Yonne,94,19
2020-04-07,Territoire de Belfort,216,43
2020-04-08,Côte-d'Or,310,74
2020-04-08,Doubs,199,81
2020-04-08,Jura,100,12
2020-04-08,Nièvre,36,9
2020-04-08,Haute-Saône,87,18
2020-04-08,Saône-et-Loire,191,36
2020-04-08,Yonne,95,19
2020-04-08,Territoire de Belfort,209,43
2020-04-09,Côte-d'Or,290,73
2020-04-09,Doubs,199,77
2020-04-09,Jura,105,13
2020-04-09,Nièvre,37,8
2020-04-09,Haute-Saône,91,18
2020-04-09,Saône-et-Loire,188,35
2020-04-09,Yonne,91,18
2020-04-09,Territoire de Belfort,210,41
2020-04-10,Côte-d'Or,350,79
2020-04-10,Doubs,190,75
2020-04-10,Jura,111,16
2020-04-10,Nièvre,48,10
2020-04-10,Haute-Saône,89,17
2020-04-10,Saône-et-Loire,184,36
2020-04-10,Yonne,88,20
2020-04-10,Territoire de Belfort,222,37
2020-04-11,Côte-d'Or,325,72
2020-04-11,Doubs,186,77
2020-04-11,Jura,112,14
2020-04-11,Nièvre,53,10
2020-04-11,Haute-Saône,87,17
2020-04-11,Saône-et-Loire,174,33
2020-04-11,Yonne,85,20
2020-04-11,Territoire de Belfort,217,35
2020-04-12,Côte-d'Or,344,72
2020-04-12,Doubs,213,75
2020-04-12,Jura,117,15
2020-04-12,Nièvre,56,10
2020-04-12,Haute-Saône,85,17
2020-04-12,Saône-et-Loire,175,34
2020-04-12,Yonne,84,20
2020-04-12,Territoire de Belfort,220,35
2020-04-13,Côte-d'Or,340,73
2020-04-13,Doubs,212,75
2020-04-13,Jura,124,17
2020-04-13,Nièvre,60,11
2020-04-13,Haute-Saône,85,17
2020-04-13,Saône-et-Loire,176,34
2020-04-13,Yonne,83,20
2020-04-13,Territoire de Belfort,229,37
2020-04-14,Côte-d'Or,346,73
2020-04-14,Doubs,234,75
2020-04-14,Jura,131,18
2020-04-14,Nièvre,58,10
2020-04-14,Haute-Saône,95,18
2020-04-14,Saône-et-Loire,180,34
2020-04-14,Yonne,91,21
2020-04-14,Territoire de Belfort,226,36
2020-04-15,Côte-d'Or,361,78
2020-04-15,Doubs,230,70
2020-04-15,Jura,132,18
2020-04-15,Nièvre,55,11
2020-04-15,Haute-Saône,89,16
2020-04-15,Saône-et-Loire,187,31
2020-04-15,Yonne,86,19
2020-04-15,Territoire de Belfort,201,31
2020-04-16,Côte-d'Or,384,81
2020-04-16,Doubs,221,71
2020-04-16,Jura,132,17
2020-04-16,Nièvre,63,11
2020-04-16,Haute-Saône,89,16
2020-04-16,Saône-et-Loire,190,32
2020-04-16,Yonne,96,19
2020-04-16,Territoire de Belfort,195,32
2020-04-17,Côte-d'Or,380,74
2020-04-17,Doubs,213,66
2020-04-17,Jura,145,17
2020-04-17,Nièvre,61,10
2020-04-17,Haute-Saône,95,17
2020-04-17,Saône-et-Loire,201,30
2020-04-17,Yonne,97,19
2020-04-17,Territoire de Belfort,188,29
