jour,Premières doses (cumul)
2020-12-27,4
2020-12-29,23
2020-12-30,43
2021-01-04,60
2021-01-05,318
2021-01-06,997
2021-01-07,2477
2021-01-08,4234
2021-01-09,4914
2021-01-10,4916
2021-01-11,7226
2021-01-12,10731
2021-01-13,14181
2021-01-14,18476
2021-01-15,21672
2021-01-16,22441
2021-01-17,22557
2021-01-18,28122
2021-01-19,35825
2021-01-20,43217
2021-01-21,52029
2021-01-22,59305
2021-01-23,62195
2021-01-24,62523
2021-01-25,67306
2021-01-26,74325
2021-01-27,80989
2021-01-28,86892
2021-01-29,92452
2021-01-30,94848
