Commune,Taux d'incidence,Taux de positivité
Armes (58),10 à 20,1 à 5
Pagny-le-Château (21),150 à 250,10 à 15
Fâchin (58),0 à 10,10 à 15
Prégilbert (89),500 à 1000,20 à 25
Villapourçon (58),0 à 10,0 à 1
Moussy (58),1000 et plus,30 et plus
Dracy-lès-Couches (71),150 à 250,1 à 5
Les Nans (39),50 à 150,25 à 30
Cérilly (89),20 à 50,10 à 15
Saint-Père (89),500 à 1000,25 à 30
Saint-Andeux (21),0 à 10,1 à 5
Menoncourt (90),500 à 1000,30 et plus
Lamargelle (21),0 à 10,0 à 1
Domecy-sur-le-Vault (89),10 à 20,30 et plus
Chaudenay-la-Ville (21),50 à 150,30 et plus
Magny-Lormes (58),50 à 150,1 à 5
Tazilly (58),0 à 10,0 à 1
Marcheseuil (21),0 à 10,0 à 1
Bévy (21),0 à 10,0 à 1
Ébaty (21),0 à 10,0 à 1
Villars-lès-Blamont (25),1000 et plus,30 et plus
Beuvron (58),0 à 10,1 à 5
Thiénans (70),150 à 250,10 à 15
Aisy-sous-Thil (21),1000 et plus,30 et plus
Septmoncel les Molunes (39),500 à 1000,30 et plus
Verrey-sous-Drée (21),1000 et plus,30 et plus
Magny (89),50 à 150,15 à 20
Chancia (39),0 à 10,0 à 1
Merry-la-Vallée (89),20 à 50,1 à 5
Painblanc (21),50 à 150,5 à 10
Trucy-l'Orgueilleux (58),0 à 10,0 à 1
Pouilly-sur-Saône (21),150 à 250,15 à 20
Ternant (21),10 à 20,30 et plus
Montret (71),250 à 500,15 à 20
Colombier (21),20 à 50,30 et plus
Villebichot (21),500 à 1000,25 à 30
Châtellenot (21),0 à 10,10 à 15
Villars-sous-Écot (25),50 à 150,10 à 15
Bissey-la-Côte (21),0 à 10,0 à 1
Arcey (21),0 à 10,5 à 10
Vignoles (21),500 à 1000,20 à 25
Norges-la-Ville (21),250 à 500,15 à 20
Tannay (58),0 à 10,1 à 5
Cognières (70),250 à 500,15 à 20
Beurey-Bauguay (21),0 à 10,10 à 15
Savigny-sous-Mâlain (21),250 à 500,15 à 20
Argiésans (90),500 à 1000,25 à 30
Voutenay-sur-Cure (89),0 à 10,0 à 1
Préporché (58),0 à 10,1 à 5
Chastellux-sur-Cure (89),500 à 1000,10 à 15
Neuchâtel-Urtière (25),50 à 150,5 à 10
Meilly-sur-Rouvres (21),1000 et plus,30 et plus
Bellenod-sur-Seine (21),0 à 10,1 à 5
Saizy (58),0 à 10,0 à 1
Sainte-Sabine (21),0 à 10,10 à 15
La Frette (71),500 à 1000,20 à 25
Bussières (21),0 à 10,0 à 1
Riel-les-Eaux (21),0 à 10,0 à 1
B½urs-en-Othe (89),250 à 500,10 à 15
Parigny-la-Rose (58),1000 et plus,30 et plus
Saint-Germain-des-Bois (58),0 à 10,0 à 1
Bierry-les-Belles-Fontaines (89),10 à 20,1 à 5
Menades (89),20 à 50,15 à 20
Ozolles (71),250 à 500,20 à 25
Meslières (25),10 à 20,1 à 5
Champlin (58),10 à 20,0 à 1
Broindon (21),10 à 20,0 à 1
Marcilly-Ogny (21),0 à 10,0 à 1
Marcy (58),0 à 10,0 à 1
Foncegrive (21),500 à 1000,15 à 20
Saint-Sulpice (58),250 à 500,10 à 15
Villiers-en-Morvan (21),0 à 10,0 à 1
Samerey (21),20 à 50,1 à 5
Ouagne (58),1000 et plus,30 et plus
Nan-sous-Thil (21),500 à 1000,20 à 25
Morvillars (90),500 à 1000,20 à 25
Talon (58),0 à 10,1 à 5
Juif (71),250 à 500,15 à 20
Autricourt (21),0 à 10,0 à 1
Bouze-lès-Beaune (21),500 à 1000,30 et plus
Montigny-en-Morvan (58),20 à 50,5 à 10
Étaule (89),10 à 20,1 à 5
Nuars (58),1000 et plus,25 à 30
Thizy (89),20 à 50,0 à 1
Thoisy-la-Berchère (21),20 à 50,1 à 5
Loulans-Verchamp (70),250 à 500,10 à 15
Diénay (21),250 à 500,10 à 15
Villecomte (21),10 à 20,0 à 1
Aloxe-Corton (21),0 à 10,0 à 1
Saulx-le-Duc (21),500 à 1000,20 à 25
Bethonvilliers (90),20 à 50,5 à 10
Corgengoux (21),250 à 500,5 à 10
Montréal (89),500 à 1000,20 à 25
Magnien (21),250 à 500,15 à 20
Brazey-en-Morvan (21),0 à 10,0 à 1
Merceuil (21),250 à 500,25 à 30
Écuelle (70),500 à 1000,30 et plus
Vianges (21),0 à 10,0 à 1
Saint-Maurice-lès-Châteauneuf (71),250 à 500,15 à 20
Mailly (71),20 à 50,30 et plus
Les Goulles (21),0 à 10,25 à 30
Corpeau (21),50 à 150,5 à 10
Rouvray (21),0 à 10,0 à 1
Maligny (21),0 à 10,0 à 1
Tronchy (71),1000 et plus,30 et plus
Vougeot (21),500 à 1000,20 à 25
Surgy (58),500 à 1000,20 à 25
Angeot (90),20 à 50,0 à 1
Vitry-Laché (58),50 à 150,1 à 5
Bellecombe (39),150 à 250,30 et plus
Saint-Mesmin (21),500 à 1000,30 et plus
Guillon-Terre-Plaine (89),500 à 1000,15 à 20
Aubigny-la-Ronce (21),500 à 1000,30 et plus
Bazarnes (89),150 à 250,15 à 20
Saint-Révérien (58),50 à 150,1 à 5
Vandoncourt (25),500 à 1000,25 à 30
Prenois (21),1000 et plus,30 et plus
Étaules (21),1000 et plus,30 et plus
Moissy-Moulinot (58),0 à 10,0 à 1
Goux-lès-Dambelin (25),50 à 150,1 à 5
Vieux-Château (21),50 à 150,10 à 15
Sussey (21),0 à 10,0 à 1
Saint-Parize-le-Châtel (58),250 à 500,15 à 20
Noidan (21),1000 et plus,30 et plus
Champlemy (58),250 à 500,20 à 25
Nuits (89),150 à 250,20 à 25
Chaumot (89),250 à 500,15 à 20
Thoires (21),0 à 10,0 à 1
Belfahy (70),50 à 150,20 à 25
La Petite-Verrière (71),20 à 50,1 à 5
Druyes-les-Belles-Fontaines (89),500 à 1000,30 et plus
Sépeaux-Saint Romain (89),20 à 50,1 à 5
Buc (90),0 à 10,0 à 1
La Bussière-sur-Ouche (21),20 à 50,1 à 5
Château-Chinon (Ville) (58),50 à 150,5 à 10
Écurcey (25),250 à 500,15 à 20
Bussy-la-Pesle (58),20 à 50,30 et plus
Chevannes (21),10 à 20,1 à 5
Trambly (71),1000 et plus,30 et plus
Semarey (21),500 à 1000,30 et plus
Chevannes-Changy (58),1000 et plus,15 à 20
Époisses (21),250 à 500,25 à 30
Saint-Didier-en-Bresse (71),500 à 1000,30 et plus
Oulon (58),20 à 50,1 à 5
Censerey (21),0 à 10,0 à 1
Beaulieu (21),0 à 10,5 à 10
Balot (21),0 à 10,5 à 10
Authiou (58),20 à 50,10 à 15
Montbozon (70),150 à 250,10 à 15
Épernay-sous-Gevrey (21),500 à 1000,30 et plus
Molesme (21),0 à 10,0 à 1
Asnois (58),0 à 10,0 à 1
Roussillon-en-Morvan (71),10 à 20,0 à 1
Sommant (71),10 à 20,1 à 5
Colméry (58),250 à 500,30 et plus
Auvillars-sur-Saône (21),500 à 1000,25 à 30
Fontaines (89),250 à 500,25 à 30
Beaumont-Sardolles (58),20 à 50,1 à 5
Courtivron (21),500 à 1000,10 à 15
Novillard (90),0 à 10,0 à 1
