dep,jour,P,T,cl_age90,pop,taux_incidence_quot,positif_7j,taux_incid_7j
39,2020-05-13,0,144,0,260188,0.0,,
39,2020-05-14,0,127,0,260188,0.0,,
39,2020-05-15,6,144,0,260188,2.3060248743216443,,
39,2020-05-16,0,39,0,260188,0.0,,
39,2020-05-17,1,31,0,260188,0.38433747905360743,,
39,2020-05-18,0,97,0,260188,0.0,,
39,2020-05-19,1,187,0,260188,0.38433747905360743,8.0,3.0746998324288595
39,2020-05-20,2,171,0,260188,0.7686749581072149,10.0,3.8433747905360742
39,2020-05-21,2,45,0,260188,0.7686749581072149,12.0,4.6120497486432885
39,2020-05-22,7,186,0,260188,2.6903623533752516,13.0,4.996387227696896
39,2020-05-23,0,84,0,260188,0.0,13.0,4.996387227696896
39,2020-05-24,0,34,0,260188,0.0,12.0,4.6120497486432885
39,2020-05-25,3,187,0,260188,1.1530124371608221,15.0,5.765062185804111
39,2020-05-26,0,148,0,260188,0.0,14.0,5.380724706750503
39,2020-05-27,0,160,0,260188,0.0,12.0,4.6120497486432885
39,2020-05-28,0,106,0,260188,0.0,10.0,3.8433747905360742
39,2020-05-29,0,98,0,260188,0.0,3.0,1.1530124371608221
39,2020-05-30,0,56,0,260188,0.0,3.0,1.1530124371608221
39,2020-05-31,0,12,0,260188,0.0,3.0,1.1530124371608221
39,2020-06-01,0,17,0,260188,0.0,0.0,0.0
39,2020-06-02,0,120,0,260188,0.0,0.0,0.0
39,2020-06-03,0,105,0,260188,0.0,0.0,0.0
39,2020-06-04,1,248,0,260188,0.38433747905360743,1.0,0.38433747905360743
39,2020-06-05,0,144,0,260188,0.0,1.0,0.38433747905360743
39,2020-06-06,0,55,0,260188,0.0,1.0,0.38433747905360743
39,2020-06-07,0,10,0,260188,0.0,1.0,0.38433747905360743
39,2020-06-08,1,99,0,260188,0.38433747905360743,2.0,0.7686749581072149
39,2020-06-09,1,139,0,260188,0.38433747905360743,3.0,1.1530124371608221
39,2020-06-10,1,116,0,260188,0.38433747905360743,4.0,1.5373499162144297
39,2020-06-11,1,97,0,260188,0.38433747905360743,4.0,1.5373499162144297
39,2020-06-12,0,130,0,260188,0.0,4.0,1.5373499162144297
39,2020-06-13,0,79,0,260188,0.0,4.0,1.5373499162144297
39,2020-06-14,0,15,0,260188,0.0,4.0,1.5373499162144297
39,2020-06-15,0,100,0,260188,0.0,3.0,1.1530124371608221
39,2020-06-16,3,163,0,260188,1.1530124371608221,5.0,1.9216873952680371
39,2020-06-17,2,108,0,260188,0.7686749581072149,6.0,2.3060248743216443
39,2020-06-18,0,90,0,260188,0.0,5.0,1.9216873952680371
39,2020-06-19,0,122,0,260188,0.0,5.0,1.9216873952680371
39,2020-06-20,0,54,0,260188,0.0,5.0,1.9216873952680371
39,2020-06-21,0,16,0,260188,0.0,5.0,1.9216873952680371
39,2020-06-22,2,99,0,260188,0.7686749581072149,7.0,2.6903623533752516
39,2020-06-23,2,118,0,260188,0.7686749581072149,6.0,2.3060248743216443
39,2020-06-24,0,135,0,260188,0.0,4.0,1.5373499162144297
39,2020-06-25,1,118,0,260188,0.38433747905360743,5.0,1.9216873952680371
39,2020-06-26,1,119,0,260188,0.38433747905360743,6.0,2.3060248743216443
39,2020-06-27,0,69,0,260188,0.0,6.0,2.3060248743216443
39,2020-06-28,2,19,0,260188,0.7686749581072149,8.0,3.0746998324288595
39,2020-06-29,2,177,0,260188,0.7686749581072149,8.0,3.0746998324288595
39,2020-06-30,0,213,0,260188,0.0,6.0,2.3060248743216443
39,2020-07-01,2,187,0,260188,0.7686749581072149,8.0,3.0746998324288595
39,2020-07-02,1,379,0,260188,0.38433747905360743,8.0,3.0746998324288595
39,2020-07-03,1,455,0,260188,0.38433747905360743,8.0,3.0746998324288595
39,2020-07-04,1,126,0,260188,0.38433747905360743,9.0,3.459037311482467
39,2020-07-05,1,51,0,260188,0.38433747905360743,8.0,3.0746998324288595
39,2020-07-06,0,171,0,260188,0.0,6.0,2.3060248743216443
39,2020-07-07,1,194,0,260188,0.38433747905360743,7.0,2.6903623533752516
39,2020-07-08,2,301,0,260188,0.7686749581072149,7.0,2.6903623533752516
39,2020-07-09,1,463,0,260188,0.38433747905360743,7.0,2.6903623533752516
39,2020-07-10,6,735,0,260188,2.3060248743216443,12.0,4.6120497486432885
39,2020-07-11,0,115,0,260188,0.0,11.0,4.227712269589682
39,2020-07-12,0,29,0,260188,0.0,10.0,3.8433747905360742
39,2020-07-13,3,227,0,260188,1.1530124371608221,13.0,4.996387227696896
39,2020-07-14,0,31,0,260188,0.0,12.0,4.6120497486432885
39,2020-07-15,0,219,0,260188,0.0,10.0,3.8433747905360742
39,2020-07-16,1,275,0,260188,0.38433747905360743,10.0,3.8433747905360742
39,2020-07-17,7,612,0,260188,2.6903623533752516,11.0,4.227712269589682
39,2020-07-18,2,165,0,260188,0.7686749581072149,13.0,4.996387227696896
39,2020-07-19,4,50,0,260188,1.5373499162144297,17.0,6.533737143911326
39,2020-07-20,3,437,0,260188,1.1530124371608221,17.0,6.533737143911326
39,2020-07-21,2,252,0,260188,0.7686749581072149,19.0,7.302412102018541
39,2020-07-22,0,463,0,260188,0.0,19.0,7.302412102018541
39,2020-07-23,4,314,0,260188,1.5373499162144297,22.0,8.455424539179363
39,2020-07-24,6,384,0,260188,2.3060248743216443,21.0,8.071087060125755
39,2020-07-25,1,158,0,260188,0.38433747905360743,20.0,7.6867495810721485
39,2020-07-26,1,38,0,260188,0.38433747905360743,17.0,6.533737143911326
39,2020-07-27,3,214,0,260188,1.1530124371608221,17.0,6.533737143911326
39,2020-07-28,0,237,0,260188,0.0,15.0,5.765062185804111
39,2020-07-29,2,271,0,260188,0.7686749581072149,17.0,6.533737143911326
39,2020-07-30,0,332,0,260188,0.0,13.0,4.996387227696896
39,2020-07-31,0,405,0,260188,0.0,7.0,2.6903623533752516
39,2020-08-01,1,112,0,260188,0.38433747905360743,7.0,2.6903623533752516
39,2020-08-02,0,30,0,260188,0.0,6.0,2.3060248743216443
39,2020-08-03,1,199,0,260188,0.38433747905360743,4.0,1.5373499162144297
39,2020-08-04,1,273,0,260188,0.38433747905360743,5.0,1.9216873952680371
39,2020-08-05,2,178,0,260188,0.7686749581072149,5.0,1.9216873952680371
39,2020-08-06,1,199,0,260188,0.38433747905360743,6.0,2.3060248743216443
39,2020-08-07,6,231,0,260188,2.3060248743216443,12.0,4.6120497486432885
39,2020-08-08,3,104,0,260188,1.1530124371608221,14.0,5.380724706750503
39,2020-08-09,0,39,0,260188,0.0,14.0,5.380724706750503
39,2020-08-10,2,161,0,260188,0.7686749581072149,15.0,5.765062185804111
39,2020-08-11,2,228,0,260188,0.7686749581072149,16.0,6.149399664857719
39,2020-08-12,3,173,0,260188,1.1530124371608221,17.0,6.533737143911326
39,2020-08-13,2,193,0,260188,0.7686749581072149,18.0,6.918074622964934
39,2020-08-14,6,258,0,260188,2.3060248743216443,18.0,6.918074622964934
39,2020-08-15,1,54,0,260188,0.38433747905360743,16.0,6.149399664857719
39,2020-08-16,2,42,0,260188,0.7686749581072149,18.0,6.918074622964934
39,2020-08-17,5,276,0,260188,1.9216873952680371,21.0,8.071087060125755
39,2020-08-18,7,297,0,260188,2.6903623533752516,26.0,9.992774455393793
39,2020-08-19,3,319,0,260188,1.1530124371608221,26.0,9.992774455393793
39,2020-08-20,7,368,0,260188,2.6903623533752516,31.0,11.914461850661828
39,2020-08-21,7,404,0,260188,2.6903623533752516,32.0,12.298799329715438
39,2020-08-22,4,227,0,260188,1.5373499162144297,35.0,13.45181176687626
39,2020-08-23,0,59,0,260188,0.0,33.0,12.683136808769044
39,2020-08-24,6,345,0,260188,2.3060248743216443,34.0,13.067474287822652
39,2020-08-25,5,298,0,260188,1.9216873952680371,32.0,12.298799329715438
39,2020-08-26,7,480,0,260188,2.6903623533752516,36.0,13.836149245929867
39,2020-08-27,9,461,0,260188,3.459037311482467,38.0,14.604824204037081
39,2020-08-28,12,567,0,260188,4.6120497486432885,43.0,16.526511599305117
39,2020-08-29,7,286,0,260188,2.6903623533752516,46.0,17.67952403646594
39,2020-08-30,1,87,0,260188,0.38433747905360743,47.0,18.063861515519548
39,2020-08-31,6,454,0,260188,2.3060248743216443,47.0,18.063861515519548
39,2020-09-01,18,561,0,260188,6.918074622964934,60.0,23.060248743216444
39,2020-09-02,7,390,0,260188,2.6903623533752516,60.0,23.060248743216444
39,2020-09-03,5,364,0,260188,1.9216873952680371,56.0,21.522898827002013
39,2020-09-04,17,491,0,260188,6.533737143911326,61.0,23.44458622227005
39,2020-09-05,6,330,0,260188,2.3060248743216443,60.0,23.060248743216444
39,2020-09-06,3,76,0,260188,1.1530124371608221,62.0,23.828923701323657
39,2020-09-07,5,341,0,260188,1.9216873952680371,61.0,23.44458622227005
39,2020-09-08,16,495,0,260188,6.149399664857719,59.0,22.675911264162835
