dep,jour,P,T,cl_age90,taux_positivite_quotidien,positifs_7j,tests_7j,taux_positivite_7j
39,2020-05-13,0,144,0,0.0,,,
39,2020-05-14,0,127,0,0.0,,,
39,2020-05-15,6,144,0,4.166666666666666,,,
39,2020-05-16,0,39,0,0.0,,,
39,2020-05-17,1,31,0,3.225806451612903,,,
39,2020-05-18,0,97,0,0.0,,,
39,2020-05-19,1,187,0,0.53475935828877,8.0,769.0,1.0403120936280885
39,2020-05-20,2,171,0,1.1695906432748537,10.0,796.0,1.256281407035176
39,2020-05-21,2,45,0,4.444444444444445,12.0,714.0,1.680672268907563
39,2020-05-22,7,186,0,3.763440860215054,13.0,756.0,1.7195767195767195
39,2020-05-23,0,84,0,0.0,13.0,801.0,1.6229712858926344
39,2020-05-24,0,34,0,0.0,12.0,804.0,1.4925373134328357
39,2020-05-25,3,187,0,1.6042780748663104,15.0,894.0,1.6778523489932886
39,2020-05-26,0,148,0,0.0,14.0,855.0,1.6374269005847955
39,2020-05-27,0,160,0,0.0,12.0,844.0,1.4218009478672986
39,2020-05-28,0,106,0,0.0,10.0,905.0,1.1049723756906076
39,2020-05-29,0,98,0,0.0,3.0,817.0,0.36719706242350064
39,2020-05-30,0,56,0,0.0,3.0,789.0,0.38022813688212925
39,2020-05-31,0,12,0,0.0,3.0,767.0,0.3911342894393742
39,2020-06-01,0,17,0,0.0,0.0,597.0,0.0
39,2020-06-02,0,120,0,0.0,0.0,569.0,0.0
39,2020-06-03,0,105,0,0.0,0.0,514.0,0.0
39,2020-06-04,1,248,0,0.4032258064516129,1.0,656.0,0.1524390243902439
39,2020-06-05,0,144,0,0.0,1.0,702.0,0.14245014245014245
39,2020-06-06,0,55,0,0.0,1.0,701.0,0.14265335235378032
39,2020-06-07,0,10,0,0.0,1.0,699.0,0.14306151645207438
39,2020-06-08,1,99,0,1.0101010101010102,2.0,781.0,0.2560819462227913
39,2020-06-09,1,139,0,0.7194244604316548,3.0,800.0,0.375
39,2020-06-10,1,116,0,0.8620689655172413,4.0,811.0,0.4932182490752158
39,2020-06-11,1,97,0,1.0309278350515463,4.0,660.0,0.6060606060606061
39,2020-06-12,0,130,0,0.0,4.0,646.0,0.6191950464396285
39,2020-06-13,0,79,0,0.0,4.0,670.0,0.5970149253731344
39,2020-06-14,0,15,0,0.0,4.0,675.0,0.5925925925925926
39,2020-06-15,0,100,0,0.0,3.0,676.0,0.4437869822485207
39,2020-06-16,3,163,0,1.8404907975460123,5.0,700.0,0.7142857142857143
39,2020-06-17,2,108,0,1.8518518518518516,6.0,692.0,0.8670520231213872
39,2020-06-18,0,90,0,0.0,5.0,685.0,0.7299270072992701
39,2020-06-19,0,122,0,0.0,5.0,677.0,0.7385524372230428
39,2020-06-20,0,54,0,0.0,5.0,652.0,0.7668711656441718
39,2020-06-21,0,16,0,0.0,5.0,653.0,0.7656967840735069
39,2020-06-22,2,99,0,2.0202020202020203,7.0,652.0,1.0736196319018405
39,2020-06-23,2,118,0,1.694915254237288,6.0,607.0,0.9884678747940692
39,2020-06-24,0,135,0,0.0,4.0,634.0,0.6309148264984227
39,2020-06-25,1,118,0,0.847457627118644,5.0,662.0,0.7552870090634441
39,2020-06-26,1,119,0,0.8403361344537815,6.0,659.0,0.9104704097116844
39,2020-06-27,0,69,0,0.0,6.0,674.0,0.8902077151335311
39,2020-06-28,2,19,0,10.526315789473683,8.0,677.0,1.1816838995568686
39,2020-06-29,2,177,0,1.1299435028248588,8.0,755.0,1.0596026490066226
39,2020-06-30,0,213,0,0.0,6.0,850.0,0.7058823529411765
39,2020-07-01,2,187,0,1.06951871657754,8.0,902.0,0.8869179600886918
39,2020-07-02,1,379,0,0.2638522427440633,8.0,1163.0,0.6878761822871883
39,2020-07-03,1,455,0,0.21978021978021978,8.0,1499.0,0.5336891260840559
39,2020-07-04,1,126,0,0.7936507936507936,9.0,1556.0,0.5784061696658097
39,2020-07-05,1,51,0,1.9607843137254901,8.0,1588.0,0.5037783375314862
39,2020-07-06,0,171,0,0.0,6.0,1582.0,0.37926675094816686
39,2020-07-07,1,194,0,0.5154639175257731,7.0,1563.0,0.4478566858605247
39,2020-07-08,2,301,0,0.6644518272425249,7.0,1677.0,0.41741204531902204
39,2020-07-09,1,463,0,0.21598272138228944,7.0,1761.0,0.3975014196479273
39,2020-07-10,6,735,0,0.8163265306122449,12.0,2041.0,0.5879470847623713
39,2020-07-11,0,115,0,0.0,11.0,2030.0,0.541871921182266
39,2020-07-12,0,29,0,0.0,10.0,2008.0,0.49800796812749004
39,2020-07-13,3,227,0,1.3215859030837005,13.0,2064.0,0.6298449612403101
39,2020-07-14,0,31,0,0.0,12.0,1901.0,0.6312467122567069
39,2020-07-15,0,219,0,0.0,10.0,1819.0,0.5497526113249038
39,2020-07-16,1,275,0,0.36363636363636365,10.0,1631.0,0.6131207847946045
39,2020-07-17,7,612,0,1.1437908496732025,11.0,1508.0,0.7294429708222812
39,2020-07-18,2,165,0,1.2121212121212122,13.0,1558.0,0.8344030808729139
39,2020-07-19,4,50,0,8.0,17.0,1579.0,1.0766307789740341
39,2020-07-20,3,437,0,0.6864988558352403,17.0,1789.0,0.9502515371716043
39,2020-07-21,2,252,0,0.7936507936507936,19.0,2010.0,0.9452736318407959
39,2020-07-22,0,463,0,0.0,19.0,2254.0,0.8429458740017746
39,2020-07-23,4,314,0,1.2738853503184715,22.0,2293.0,0.9594417793283908
39,2020-07-24,6,384,0,1.5625,21.0,2065.0,1.0169491525423728
39,2020-07-25,1,158,0,0.6329113924050633,20.0,2058.0,0.9718172983479106
39,2020-07-26,1,38,0,2.631578947368421,17.0,2046.0,0.8308895405669598
39,2020-07-27,3,214,0,1.4018691588785046,17.0,1823.0,0.9325287986834888
39,2020-07-28,0,237,0,0.0,15.0,1808.0,0.8296460176991152
39,2020-07-29,2,271,0,0.7380073800738007,17.0,1616.0,1.051980198019802
39,2020-07-30,0,332,0,0.0,13.0,1634.0,0.795593635250918
39,2020-07-31,0,405,0,0.0,7.0,1655.0,0.4229607250755287
39,2020-08-01,1,112,0,0.8928571428571428,7.0,1609.0,0.435052827843381
39,2020-08-02,0,30,0,0.0,6.0,1601.0,0.3747657713928795
39,2020-08-03,1,199,0,0.5025125628140703,4.0,1586.0,0.25220680958385877
39,2020-08-04,1,273,0,0.3663003663003663,5.0,1622.0,0.3082614056720099
39,2020-08-05,2,178,0,1.1235955056179776,5.0,1529.0,0.3270111183780248
39,2020-08-06,1,199,0,0.5025125628140703,6.0,1396.0,0.42979942693409745
39,2020-08-07,6,231,0,2.5974025974025974,12.0,1222.0,0.9819967266775778
39,2020-08-08,3,104,0,2.8846153846153846,14.0,1214.0,1.1532125205930808
39,2020-08-09,0,39,0,0.0,14.0,1223.0,1.1447260834014716
39,2020-08-10,2,161,0,1.2422360248447204,15.0,1185.0,1.2658227848101267
39,2020-08-11,2,228,0,0.8771929824561403,16.0,1140.0,1.4035087719298245
39,2020-08-12,3,173,0,1.7341040462427744,17.0,1135.0,1.4977973568281937
39,2020-08-13,2,193,0,1.0362694300518136,18.0,1129.0,1.5943312666076175
39,2020-08-14,6,258,0,2.3255813953488373,18.0,1156.0,1.5570934256055362
39,2020-08-15,1,54,0,1.8518518518518516,16.0,1106.0,1.4466546112115732
39,2020-08-16,2,42,0,4.761904761904762,18.0,1109.0,1.6230838593327321
39,2020-08-17,5,276,0,1.8115942028985508,21.0,1224.0,1.715686274509804
39,2020-08-18,7,297,0,2.356902356902357,26.0,1293.0,2.010827532869296
39,2020-08-19,3,319,0,0.9404388714733543,26.0,1439.0,1.8068102849200833
39,2020-08-20,7,368,0,1.9021739130434785,31.0,1614.0,1.9206939281288724
39,2020-08-21,7,404,0,1.7326732673267329,32.0,1760.0,1.8181818181818181
39,2020-08-22,4,227,0,1.762114537444934,35.0,1933.0,1.8106570098292811
39,2020-08-23,0,59,0,0.0,33.0,1950.0,1.6923076923076923
39,2020-08-24,6,345,0,1.7391304347826086,34.0,2019.0,1.6840019811788014
39,2020-08-25,5,298,0,1.6778523489932886,32.0,2020.0,1.5841584158415842
39,2020-08-26,7,480,0,1.4583333333333333,36.0,2181.0,1.6506189821182942
39,2020-08-27,9,461,0,1.9522776572668112,38.0,2274.0,1.6710642040457344
39,2020-08-28,12,566,0,2.1201413427561837,43.0,2436.0,1.7651888341543513
39,2020-08-29,7,286,0,2.4475524475524475,46.0,2495.0,1.8436873747494988
39,2020-08-30,1,87,0,1.1494252873563218,47.0,2523.0,1.86286167261197
39,2020-08-31,6,454,0,1.3215859030837005,47.0,2632.0,1.7857142857142856
39,2020-09-01,18,561,0,3.2085561497326207,60.0,2895.0,2.072538860103627
39,2020-09-02,7,390,0,1.7948717948717947,60.0,2805.0,2.13903743315508
39,2020-09-03,5,364,0,1.3736263736263736,56.0,2708.0,2.06794682422452
39,2020-09-04,17,491,0,3.462321792260693,61.0,2633.0,2.3167489555639955
39,2020-09-05,6,330,0,1.8181818181818181,60.0,2677.0,2.2413149047441165
39,2020-09-06,3,76,0,3.9473684210526314,62.0,2666.0,2.3255813953488373
39,2020-09-07,5,341,0,1.466275659824047,61.0,2553.0,2.389345867606737
39,2020-09-08,16,495,0,3.2323232323232323,59.0,2487.0,2.372336147969441
39,2020-09-09,10,649,0,1.5408320493066257,62.0,2746.0,2.2578295702840494
39,2020-09-10,8,529,0,1.5122873345935728,65.0,2911.0,2.2329096530401924
39,2020-09-11,13,627,0,2.073365231259968,61.0,3047.0,2.0019691499835903
39,2020-09-12,16,467,0,3.4261241970021414,71.0,3184.0,2.229899497487437
39,2020-09-13,6,94,0,6.382978723404255,74.0,3202.0,2.31105559025609
39,2020-09-14,14,624,0,2.2435897435897436,83.0,3485.0,2.3816355810616927
39,2020-09-15,10,683,0,1.4641288433382138,77.0,3673.0,2.09637898175878
39,2020-09-16,18,768,0,2.34375,85.0,3792.0,2.2415611814345993
39,2020-09-17,16,700,0,2.2857142857142856,93.0,3963.0,2.34670704012112
39,2020-09-18,14,562,0,2.491103202846975,94.0,3898.0,2.4114930733709596
39,2020-09-19,4,332,0,1.2048192771084338,82.0,3763.0,2.179112410310922
39,2020-09-20,1,41,0,2.4390243902439024,77.0,3710.0,2.0754716981132075
39,2020-09-21,22,549,0,4.007285974499089,85.0,3635.0,2.3383768913342506
39,2020-09-22,26,580,0,4.482758620689655,101.0,3532.0,2.8595696489241225
39,2020-09-23,20,539,0,3.710575139146568,103.0,3303.0,3.11837723281865
39,2020-09-24,26,502,0,5.179282868525896,113.0,3105.0,3.639291465378422
39,2020-09-25,19,451,0,4.212860310421286,118.0,2994.0,3.9412157648630597
39,2020-09-26,11,232,0,4.741379310344827,125.0,2894.0,4.319281271596406
39,2020-09-27,2,43,0,4.651162790697675,126.0,2896.0,4.350828729281768
39,2020-09-28,18,364,0,4.945054945054945,122.0,2711.0,4.50018443378827
39,2020-09-29,21,494,0,4.251012145748987,117.0,2625.0,4.457142857142857
39,2020-09-30,15,507,0,2.9585798816568047,112.0,2593.0,4.319321249517933
39,2020-10-01,23,498,0,4.618473895582329,109.0,2589.0,4.210119737350328
39,2020-10-02,29,471,0,6.1571125265392785,119.0,2609.0,4.5611345343043315
39,2020-10-03,27,306,0,8.823529411764707,135.0,2683.0,5.031680954155796
39,2020-10-04,1,78,0,1.282051282051282,134.0,2718.0,4.93009565857248
39,2020-10-05,20,427,0,4.683840749414521,136.0,2781.0,4.890327220424308
39,2020-10-06,32,500,0,6.4,147.0,2787.0,5.27448869752422
39,2020-10-07,36,500,0,7.199999999999999,168.0,2780.0,6.043165467625899
39,2020-10-08,36,511,0,7.045009784735812,181.0,2793.0,6.4804869316147515
39,2020-10-09,75,592,0,12.66891891891892,227.0,2914.0,7.789979409746054
39,2020-10-10,39,368,0,10.597826086956522,239.0,2976.0,8.030913978494624
39,2020-10-11,5,67,0,7.462686567164178,243.0,2965.0,8.195615514333895
