dep,jour,P,T,cl_age90,taux_positivite_quotidien,positif_7j,tests_7j,taux_incid_7j,dep_ok
21,2020-05-13,4,312,0,1.282051282051282,,,,Côte-d'Or
21,2020-05-14,7,328,0,2.1341463414634148,,,,Côte-d'Or
21,2020-05-15,7,440,0,1.5909090909090908,,,,Côte-d'Or
21,2020-05-16,4,123,0,3.252032520325204,,,,Côte-d'Or
21,2020-05-17,0,62,0,0.0,,,,Côte-d'Or
21,2020-05-18,10,346,0,2.8901734104046244,,,,Côte-d'Or
21,2020-05-19,13,395,0,3.2911392405063293,45.0,2006.0,2.2432701894317053,Côte-d'Or
21,2020-05-20,5,350,0,1.4285714285714286,46.0,2044.0,2.250489236790606,Côte-d'Or
21,2020-05-21,0,67,0,0.0,39.0,1783.0,2.1873247335950645,Côte-d'Or
21,2020-05-22,13,303,0,4.29042904290429,45.0,1646.0,2.7339003645200486,Côte-d'Or
21,2020-05-23,0,126,0,0.0,41.0,1649.0,2.486355366889024,Côte-d'Or
21,2020-05-24,1,71,0,1.4084507042253522,42.0,1658.0,2.5331724969843186,Côte-d'Or
21,2020-05-25,4,320,0,1.25,36.0,1632.0,2.2058823529411766,Côte-d'Or
21,2020-05-26,3,331,0,0.906344410876133,26.0,1568.0,1.6581632653061225,Côte-d'Or
21,2020-05-27,5,217,0,2.3041474654377883,26.0,1435.0,1.8118466898954704,Côte-d'Or
21,2020-05-28,3,278,0,1.0791366906474822,29.0,1646.0,1.7618469015795868,Côte-d'Or
21,2020-05-29,2,285,0,0.7017543859649122,18.0,1628.0,1.1056511056511056,Côte-d'Or
21,2020-05-30,2,157,0,1.2738853503184715,20.0,1659.0,1.2055455093429777,Côte-d'Or
21,2020-05-31,0,70,0,0.0,19.0,1658.0,1.1459589867310012,Côte-d'Or
21,2020-06-01,0,49,0,0.0,15.0,1387.0,1.0814708002883922,Côte-d'Or
21,2020-06-02,1,261,0,0.3831417624521072,13.0,1317.0,0.9870918754745632,Côte-d'Or
21,2020-06-03,0,260,0,0.0,8.0,1360.0,0.5882352941176471,Côte-d'Or
