jour,dep,nom_dep,n_dose1,n_cum_dose1
2020-12-27,21,Côte-d'Or,4,4
2020-12-29,21,Côte-d'Or,19,23
2020-12-30,21,Côte-d'Or,20,43
2021-01-04,21,Côte-d'Or,16,59
2021-01-05,21,Côte-d'Or,247,306
2021-01-06,21,Côte-d'Or,285,591
2021-01-07,21,Côte-d'Or,379,970
2021-01-08,21,Côte-d'Or,435,1405
2021-01-09,21,Côte-d'Or,239,1644
2021-01-11,21,Côte-d'Or,596,2240
2021-01-12,21,Côte-d'Or,587,2827
2021-01-13,21,Côte-d'Or,599,3426
2021-01-14,21,Côte-d'Or,1034,4460
2021-01-15,21,Côte-d'Or,665,5125
2021-01-16,21,Côte-d'Or,159,5284
2021-01-17,21,Côte-d'Or,4,5288
2021-01-18,21,Côte-d'Or,1000,6288
2021-01-19,21,Côte-d'Or,1083,7371
2021-01-20,21,Côte-d'Or,1129,8500
2021-01-21,21,Côte-d'Or,1304,9804
2021-01-22,21,Côte-d'Or,954,10758
2021-01-23,21,Côte-d'Or,427,11185
2021-01-24,21,Côte-d'Or,103,11288
2021-01-25,21,Côte-d'Or,669,11957
2021-01-26,21,Côte-d'Or,1228,13185
2021-01-27,21,Côte-d'Or,1628,14813
2021-01-06,25,Doubs,73,73
2021-01-07,25,Doubs,233,306
2021-01-08,25,Doubs,317,623
2021-01-09,25,Doubs,103,726
2021-01-11,25,Doubs,464,1190
2021-01-12,25,Doubs,625,1815
2021-01-13,25,Doubs,572,2387
2021-01-14,25,Doubs,778,3165
2021-01-15,25,Doubs,653,3818
2021-01-16,25,Doubs,196,4014
2021-01-17,25,Doubs,111,4125
2021-01-18,25,Doubs,1016,5141
2021-01-19,25,Doubs,1212,6353
2021-01-20,25,Doubs,1384,7737
2021-01-21,25,Doubs,1682,9419
2021-01-22,25,Doubs,1386,10805
2021-01-23,25,Doubs,477,11282
2021-01-24,25,Doubs,118,11400
2021-01-25,25,Doubs,862,12262
2021-01-26,25,Doubs,1342,13604
2021-01-27,25,Doubs,1176,14780
2021-01-04,39,Jura,1,1
2021-01-05,39,Jura,1,2
2021-01-06,39,Jura,15,17
2021-01-07,39,Jura,297,314
2021-01-08,39,Jura,560,874
2021-01-09,39,Jura,169,1043
2021-01-10,39,Jura,1,1044
2021-01-11,39,Jura,395,1439
2021-01-12,39,Jura,420,1859
2021-01-13,39,Jura,369,2228
2021-01-14,39,Jura,520,2748
2021-01-15,39,Jura,414,3162
2021-01-16,39,Jura,140,3302
2021-01-18,39,Jura,896,4198
2021-01-19,39,Jura,1159,5357
2021-01-20,39,Jura,871,6228
2021-01-21,39,Jura,1147,7375
2021-01-22,39,Jura,945,8320
2021-01-23,39,Jura,379,8699
2021-01-25,39,Jura,623,9322
2021-01-26,39,Jura,1021,10343
2021-01-27,39,Jura,850,11193
2021-01-06,58,Nièvre,129,129
2021-01-07,58,Nièvre,223,352
2021-01-08,58,Nièvre,21,373
2021-01-09,58,Nièvre,1,374
2021-01-11,58,Nièvre,41,415
2021-01-12,58,Nièvre,192,607
2021-01-13,58,Nièvre,241,848
2021-01-14,58,Nièvre,223,1071
2021-01-15,58,Nièvre,45,1116
2021-01-16,58,Nièvre,10,1126
2021-01-18,58,Nièvre,329,1455
2021-01-19,58,Nièvre,804,2259
2021-01-20,58,Nièvre,931,3190
2021-01-21,58,Nièvre,824,4014
2021-01-22,58,Nièvre,648,4662
2021-01-23,58,Nièvre,249,4911
2021-01-24,58,Nièvre,2,4913
2021-01-25,58,Nièvre,414,5327
2021-01-26,58,Nièvre,642,5969
2021-01-27,58,Nièvre,530,6499
2021-01-06,70,Haute-Saône,23,23
2021-01-07,70,Haute-Saône,56,79
2021-01-08,70,Haute-Saône,1,80
2021-01-11,70,Haute-Saône,131,211
2021-01-12,70,Haute-Saône,137,348
2021-01-13,70,Haute-Saône,106,454
2021-01-14,70,Haute-Saône,117,571
2021-01-15,70,Haute-Saône,90,661
2021-01-16,70,Haute-Saône,64,725
2021-01-18,70,Haute-Saône,356,1081
2021-01-19,70,Haute-Saône,467,1548
2021-01-20,70,Haute-Saône,491,2039
2021-01-21,70,Haute-Saône,601,2640
2021-01-22,70,Haute-Saône,453,3093
2021-01-23,70,Haute-Saône,260,3353
2021-01-24,70,Haute-Saône,3,3356
2021-01-25,70,Haute-Saône,309,3665
2021-01-26,70,Haute-Saône,310,3975
2021-01-27,70,Haute-Saône,308,4283
2021-01-05,71,Saône-et-Loire,10,10
2021-01-06,71,Saône-et-Loire,70,80
2021-01-07,71,Saône-et-Loire,66,146
2021-01-08,71,Saône-et-Loire,137,283
2021-01-09,71,Saône-et-Loire,117,400
2021-01-10,71,Saône-et-Loire,1,401
2021-01-11,71,Saône-et-Loire,230,631
2021-01-12,71,Saône-et-Loire,739,1370
2021-01-13,71,Saône-et-Loire,491,1861
2021-01-14,71,Saône-et-Loire,484,2345
2021-01-15,71,Saône-et-Loire,597,2942
2021-01-16,71,Saône-et-Loire,1,2943
2021-01-18,71,Saône-et-Loire,1012,3955
2021-01-19,71,Saône-et-Loire,1595,5550
2021-01-20,71,Saône-et-Loire,1414,6964
2021-01-21,71,Saône-et-Loire,1837,8801
2021-01-22,71,Saône-et-Loire,1367,10168
2021-01-23,71,Saône-et-Loire,804,10972
2021-01-25,71,Saône-et-Loire,1031,12003
2021-01-26,71,Saône-et-Loire,1423,13426
2021-01-27,71,Saône-et-Loire,1186,14612
2021-01-06,89,Yonne,48,48
2021-01-07,89,Yonne,201,249
2021-01-08,89,Yonne,47,296
2021-01-11,89,Yonne,188,484
2021-01-12,89,Yonne,312,796
2021-01-13,89,Yonne,489,1285
2021-01-14,89,Yonne,594,1879
2021-01-15,89,Yonne,260,2139
2021-01-16,89,Yonne,88,2227
2021-01-18,89,Yonne,483,2710
2021-01-19,89,Yonne,784,3494
2021-01-20,89,Yonne,723,4217
2021-01-21,89,Yonne,832,5049
2021-01-22,89,Yonne,989,6038
2021-01-23,89,Yonne,194,6232
2021-01-24,89,Yonne,102,6334
2021-01-25,89,Yonne,472,6806
2021-01-26,89,Yonne,553,7359
2021-01-27,89,Yonne,467,7826
2021-01-08,90,Territoire de Belfort,170,170
2021-01-09,90,Territoire de Belfort,46,216
2021-01-11,90,Territoire de Belfort,200,416
2021-01-12,90,Territoire de Belfort,426,842
2021-01-13,90,Territoire de Belfort,460,1302
2021-01-14,90,Territoire de Belfort,405,1707
2021-01-15,90,Territoire de Belfort,356,2063
2021-01-16,90,Territoire de Belfort,111,2174
2021-01-17,90,Territoire de Belfort,1,2175
2021-01-18,90,Territoire de Belfort,362,2537
2021-01-19,90,Territoire de Belfort,459,2996
2021-01-20,90,Territoire de Belfort,346,3342
2021-01-21,90,Territoire de Belfort,304,3646
2021-01-22,90,Territoire de Belfort,346,3992
2021-01-23,90,Territoire de Belfort,98,4090
2021-01-25,90,Territoire de Belfort,319,4409
2021-01-26,90,Territoire de Belfort,224,4633
2021-01-27,90,Territoire de Belfort,254,4887
